PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text,Predicted_Cancer_Type
PREDISPOSES,C-reactive protein level,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",C-reactive protein level Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Cell Proliferation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Cell Proliferation Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Carcinoma of the Large Intestine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Carcinoma of the Large Intestine Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Phytoestrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Phytoestrogens Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Single Nucleotide Polymorphism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Single Nucleotide Polymorphism Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,CD44 gene|CD44,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CD44 gene|CD44 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Cell Cycle Progression,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Cell Cycle Progression Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Hormones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Hormones Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Vitamin D,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Food,Vitamin D Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Estrogen Receptor Status,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Estrogen Receptor Status Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,MTRR,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,MTRR Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,MTA2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,MTA2 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Growth,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Growth Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Pregnancy,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Pregnancy Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,DYRK2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,DYRK2 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Velcade,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Velcade Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Carcinogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hazardous or Poisonous Substance,Carcinogens Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Hormone replacement therapy,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Hormone replacement therapy Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Insulin-Like-Growth Factor I Receptor,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Biologically Active Substance,Insulin-Like-Growth Factor I Receptor Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,lycopene,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,lycopene Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,SMURF1,Breast cancer metastatic,0.0279720279720279,Female Breast Cancer,Other,SMURF1 Breast cancer metastatic,Female Breast Cancer
PREDISPOSES,Metabolic Diseases,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Disease or Syndrome,Metabolic Diseases Malignant neoplasm of breast,Female Breast Cancer
CAUSES,"DNA, Mitochondrial",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide","DNA, Mitochondrial Malignant neoplasm of breast",Female Breast Cancer
AFFECTS,polyphenols,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,polyphenols Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Obesity,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Obesity Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Etodolac,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Etodolac Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,MST1R gene|MST1R,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,MST1R gene|MST1R Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Lactation,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Lactation Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Interleukin-6,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Interleukin-6 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Estrogen Receptors,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Estrogen Receptors Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Well in self,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Well in self Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Human Papillomavirus,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Virus,Human Papillomavirus Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,1-Phosphatidylinositol 3-Kinase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,1-Phosphatidylinositol 3-Kinase Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Androgens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Androgens Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,TARBP2,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other,TARBP2 Breast Carcinoma,Female Breast Cancer
PREDISPOSES,Tobacco smoke,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Tobacco smoke Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Annexin A2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Annexin A2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,RAD51,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,RAD51 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,BCL9 gene|BCL9,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BCL9 gene|BCL9 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Genes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,Genes Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,GATA3,Breast Carcinoma,0.0279720279720279,Female Breast Cancer,Other,GATA3 Breast Carcinoma,Female Breast Cancer
PREDISPOSES,CHEK2 gene|CHEK2,Carcinoma of Male Breast,0.0049950049950049,Male Breast Cancer,Gene or Genome,CHEK2 gene|CHEK2 Carcinoma of Male Breast,Female Breast Cancer
PREDISPOSES,beta-cryptoxanthin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,beta-cryptoxanthin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,response,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,response Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Physical activity,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Physical activity Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Signal Pathways,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Signal Pathways Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,TARBP2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,TARBP2 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,SELENOP,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,SELENOP Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,polyphenols,Breast cancer recurrent,0.0049950049950049,Recurrent Breast Cancer,Other,polyphenols Breast cancer recurrent,Recurrent Breast Cancer
PREDISPOSES,Weight Gain,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Weight Gain Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,pleiotropism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,pleiotropism Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Enhancer,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Enhancer Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,GATA3,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,GATA3 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Prognostic Factor,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Prognostic Factor Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Monocyte Chemoattractant Protein-1|CCL2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Monocyte Chemoattractant Protein-1|CCL2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Complication,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Complication Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,kahweol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,kahweol Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,INPP5J,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,INPP5J Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,heparanase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,heparanase Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Fitness,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Fitness Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Progestins,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Progestins Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,PTGS2 gene|PTGS2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,PTGS2 gene|PTGS2 Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,Nitrogen,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Nitrogen Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,GLTSCR2 gene|NOP53,"Carcinoma, Ductal, Breast",0.0029970029970029,Female Breast Cancer,Gene or Genome,"GLTSCR2 gene|NOP53 Carcinoma, Ductal, Breast",Female Breast Cancer
PREDISPOSES,RNA,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",RNA Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,"Polymorphism, Genetic",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,"Polymorphism, Genetic Malignant neoplasm of breast",Female Breast Cancer
AFFECTS,Malignant Neoplasms,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Neoplastic Process,Malignant Neoplasms Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Estrogens,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Estrogens Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Ethanol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Ethanol Malignant neoplasm of breast,Female Breast Cancer
CAUSES,ERBB2 gene|ERBB2,Breast cancer invasive NOS,0.0099900099900099,Female Breast Cancer,Gene or Genome,ERBB2 gene|ERBB2 Breast cancer invasive NOS,Female Breast Cancer
CAUSES,TP53 gene|TP53,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,TP53 gene|TP53 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Endocrine therapy,Noninfiltrating Intraductal Carcinoma,0.0109890109890109,Female Breast Cancer,Hormone,Endocrine therapy Noninfiltrating Intraductal Carcinoma,Female Breast Cancer
PREDISPOSES,BRCA2 gene|BRCA2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BRCA2 gene|BRCA2 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Base Excision Repair,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Base Excision Repair Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Tumor Suppressor Genes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,Tumor Suppressor Genes Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Angiogenesis Inhibitors,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,Angiogenesis Inhibitors Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Adiponectin,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Adiponectin Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,CENPN,Breast cancer recurrent,0.0049950049950049,Recurrent Breast Cancer,Other,CENPN Breast cancer recurrent,Recurrent Breast Cancer
PREDISPOSES,Reproductive History,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Reproductive History Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Menopausal Status,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Menopausal Status Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,KISS1R,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,KISS1R Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,ABCB1 gene|ABCB1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,ABCB1 gene|ABCB1 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Regular exercise,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Regular exercise Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Antisense RNA,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Antisense RNA Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Progesterone,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Hormone,Progesterone Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,ZNF410,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,ZNF410 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Diabetes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Diabetes Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Total cholesterol,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Lipid,Total cholesterol Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Nuts,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Nuts Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Therapeutic procedure,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Therapeutic procedure Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,CHEK2 gene|CHEK2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CHEK2 gene|CHEK2 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Estrogen Receptor alpha,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Amino Acid, Peptide, or Protein",Estrogen Receptor alpha Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Psychosocial problem,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Psychosocial problem Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Red meat,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Red meat Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Lesion,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Lesion Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Genes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,Genes Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Single Nucleotide Polymorphism,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Single Nucleotide Polymorphism Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,Hypothalamic inhibiting factor,Breast cancer metastatic,0.0279720279720279,Female Breast Cancer,Other,Hypothalamic inhibiting factor Breast cancer metastatic,Female Breast Cancer
AUGMENTS,DNM1 gene|DNM1,Breast cancer invasive NOS,0.0099900099900099,Female Breast Cancer,Gene or Genome,DNM1 gene|DNM1 Breast cancer invasive NOS,Female Breast Cancer
PREDISPOSES,Heterocyclic Amines,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Heterocyclic Amines Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Cyclin E,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Cyclin E Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Primigravida,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Primigravida Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BRCA1 gene|BRCA1 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Phosphotransferases,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Phosphotransferases Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Stromal Cell-Derived Factor 1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Stromal Cell-Derived Factor 1 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Pharmacotherapy,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Pharmacotherapy Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Enzymes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Enzyme,Enzymes Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Vitamin D,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Food,Vitamin D Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Behavior,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Behavior Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Isoflavones,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Isoflavones Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Taxotere,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Taxotere Malignant neoplasm of breast,Female Breast Cancer
CAUSES,ERBB2 gene|ERBB2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,ERBB2 gene|ERBB2 Malignant neoplasm of breast,Female Breast Cancer
CAUSES,S100A7,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,S100A7 Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,Calcium,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Calcium Malignant neoplasm of breast,Female Breast Cancer
CAUSES,BRCA2 gene|BRCA2,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,BRCA2 gene|BRCA2 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Antioxidants,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Antioxidants Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,educational intervention,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",educational intervention Malignant neoplasm of breast,Female Breast Cancer
CAUSES,anthracene,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,anthracene Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,"Receptors, Opioid, delta",Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,"Receptors, Opioid, delta Malignant neoplasm of breast",Female Breast Cancer
PREDISPOSES,Amino Acyl-tRNA Synthetases|TRNA,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Nucleic Acid, Nucleoside, or Nucleotide",Amino Acyl-tRNA Synthetases|TRNA Malignant neoplasm of breast,Female Breast Cancer
CAUSES,Antibodies,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Antibodies Malignant neoplasm of breast,Female Breast Cancer
DISRUPTS,AKR1C3,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,AKR1C3 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,PGR gene|PGR,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,PGR gene|PGR Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Radial scar,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Radial scar Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,TRANSCRIPTION FACTOR,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",TRANSCRIPTION FACTOR Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,methyl 4-azidophenylacetimidate,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,methyl 4-azidophenylacetimidate Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Methionine,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,"Element, Ion, or Isotope",Methionine Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Catechol O-Methyltransferase,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Catechol O-Methyltransferase Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,TLR3 gene|TLR3,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,TLR3 gene|TLR3 Malignant neoplasm of breast,Female Breast Cancer
PREDISPOSES,Vascular Endothelial Growth Factor Receptor-1,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Biologically Active Substance,Vascular Endothelial Growth Factor Receptor-1 Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,dihydroxyacetone sulfate,Breast cancer metastatic,0.0279720279720279,Female Breast Cancer,Other,dihydroxyacetone sulfate Breast cancer metastatic,Female Breast Cancer
AFFECTS,Estradiol,Breast cancer metastatic,0.0279720279720279,Female Breast Cancer,Other,Estradiol Breast cancer metastatic,Female Breast Cancer
AFFECTS,Tamoxifen,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Pharmacologic Substance,Tamoxifen Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Apoptosis,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Apoptosis Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Taxanes,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,Taxanes Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,fulvestrant,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,fulvestrant Malignant neoplasm of breast,Female Breast Cancer
AUGMENTS,BSG,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Other,BSG Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,Thromboembolic event,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Phenomenon or Process,Thromboembolic event Malignant neoplasm of breast,Female Breast Cancer
AFFECTS,CXCR4 gene|CXCR4,Malignant neoplasm of breast,0.3386613386613387,Female Breast Cancer,Gene or Genome,CXCR4 gene|CXCR4 Malignant neoplasm of breast,Female Breast Cancer
