PREDICATE,SUBJECT_NAME,OBJECT_NAME,cause_category,factuality_score,Factuality_Score
AFFECTS,GATA3,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Prognostic Factor,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Monocyte Chemoattractant Protein-1|CCL2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Complication,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,kahweol,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,INPP5J,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,heparanase,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Fitness,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Progestins,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,PTGS2 gene|PTGS2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AUGMENTS,Nitrogen,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,GLTSCR2 gene|NOP53,"Carcinoma, Ductal, Breast",Genetic Factors,0.0,0.002997002997002997
PREDISPOSES,RNA,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,"Polymorphism, Genetic",Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Malignant Neoplasms,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Estrogens,Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
PREDISPOSES,Ethanol,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,ERBB2 gene|ERBB2,Breast cancer invasive NOS,Genetic Factors,0.0,0.00999000999000999
CAUSES,TP53 gene|TP53,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Endocrine therapy,Noninfiltrating Intraductal Carcinoma,Other,0.0,0.01098901098901099
PREDISPOSES,BRCA2 gene|BRCA2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Base Excision Repair,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Tumor Suppressor Genes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Angiogenesis Inhibitors,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Adiponectin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,CENPN,Breast cancer recurrent,Other,0.0,0.004995004995004995
PREDISPOSES,Reproductive History,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Menopausal Status,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,KISS1R,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,ABCB1 gene|ABCB1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Regular exercise,Malignant neoplasm of breast,Behavioral Factors,0.0,0.3386613386613387
PREDISPOSES,Antisense RNA,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Progesterone,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,ZNF410,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Diabetes,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Total cholesterol,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Nuts,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Therapeutic procedure,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,CHEK2 gene|CHEK2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,Estrogen Receptor alpha,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Psychosocial problem,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Red meat,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Lesion,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Genes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
DISRUPTS,Single Nucleotide Polymorphism,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,Hypothalamic inhibiting factor,Breast cancer metastatic,Other,0.0,0.027972027972027972
AUGMENTS,DNM1 gene|DNM1,Breast cancer invasive NOS,Genetic Factors,0.0,0.00999000999000999
PREDISPOSES,Heterocyclic Amines,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Cyclin E,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Primigravida,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,BRCA1 gene|BRCA1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
DISRUPTS,Phosphotransferases,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Stromal Cell-Derived Factor 1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Pharmacotherapy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Enzymes,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Vitamin D,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Behavior,Malignant neoplasm of breast,Behavioral Factors,0.0,0.3386613386613387
DISRUPTS,Isoflavones,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Taxotere,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,ERBB2 gene|ERBB2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,S100A7,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Calcium,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,BRCA2 gene|BRCA2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Antioxidants,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,educational intervention,Malignant neoplasm of breast,Educational Factors,0.0,0.3386613386613387
CAUSES,anthracene,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,"Receptors, Opioid, delta",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Amino Acyl-tRNA Synthetases|TRNA,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Antibodies,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,AKR1C3,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,PGR gene|PGR,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Radial scar,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,TRANSCRIPTION FACTOR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,methyl 4-azidophenylacetimidate,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Methionine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Catechol O-Methyltransferase,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,TLR3 gene|TLR3,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Vascular Endothelial Growth Factor Receptor-1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,dihydroxyacetone sulfate,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Estradiol,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Tamoxifen,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Apoptosis,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Taxanes,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,fulvestrant,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,BSG,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Thromboembolic event,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,CXCR4 gene|CXCR4,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
DISRUPTS,"Alpha-MMC protein, Momordica charantia",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Ovarian Serous Adenocarcinoma,Breast Carcinoma,Other,0.0,0.027972027972027972
CAUSES,EGFR gene|EGFR,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Neoplasm,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,Aryl Hydrocarbon Receptor|AHR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,HRH4 gene|HRH4,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,6-sulfatoxymelatonin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Methylnitrosourea,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Carrier of disorder,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,"Fatty Acids, Omega-6",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Not significant,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Citrate,Breast Carcinoma,Other,0.0,0.027972027972027972
DISRUPTS,RASAL2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Genistein,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,"Estrogens, Synthetic",Malignant neoplasm of breast,Hormonal Factors,0.0,0.3386613386613387
CAUSES,"9,10-Dimethyl-1,2-benzanthracene",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,CDKN1A gene|CDKN1A,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Bilateral salpingectomy with oophorectomy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Arginine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Drug resistance,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Wine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Menopause,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Alcohol consumption,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Endocrine therapy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Meat,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Smoking,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,sulfuretin,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Proto-Oncogenes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Disease,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Gene Expression,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,FGF10 gene|FGF10,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Methyltransferase,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,HSF1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Iodine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Genes,Breast cancer metastatic,Genetic Factors,0.0,0.027972027972027972
AFFECTS,Protein Expression,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Polyunsaturated Fatty Acids,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Clusterin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Cytokine Gene,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AUGMENTS,PRKACA gene|PRKACA,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AUGMENTS,Dietary Fats,Malignant neoplasm of breast,Behavioral Factors,0.0,0.3386613386613387
PREDISPOSES,Eosinophilia,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Insulin Resistance,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,Proto-Oncogenes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Genes,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AUGMENTS,MAD2L2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,"Drugs, Investigational",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,Urokinase,Breast cancer metastatic,Other,0.0,0.027972027972027972
CAUSES,Neoplasm Metastasis,Breast Carcinoma,Other,0.0,0.027972027972027972
AUGMENTS,erbB-2 Receptor|ERBB2,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,gamma-tocotrienol,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,TERT gene|TERT,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,EGFR gene|EGFR,Breast cancer metastatic,Genetic Factors,0.0,0.027972027972027972
AFFECTS,Oxidative Stress,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Solvents,Breast cancer invasive NOS,Other,0.0,0.00999000999000999
PREDISPOSES,palm oil,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,CHEK2 gene|CHEK2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Tongue feature,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Blueberries,Inflammatory Breast Carcinoma,Other,0.0,0.000999000999000999
AFFECTS,ITK gene|ITK,Breast cancer metastatic,Genetic Factors,0.0,0.027972027972027972
AFFECTS,inhibitors,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Insulin-Like Growth Factor I,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,protein tyrosine phosphatase 1B,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Triclosan,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Threonine,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Estrogen Receptor alpha,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Medical History,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Progestins,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,CLOCK gene|CLOCK,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,Insulin-Like Growth Factor Binding Protein 3,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,CA-15-3 Antigen,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Estrogen Receptors,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,MicroRNAs,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Genomic Stability,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Methylation,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,MicroRNAs,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,ERBB2 gene|ERBB2,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
CAUSES,Doxorubicin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,bevacizumab,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Prior Therapy,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Medical Imaging,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,ATM Gene Mutation,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,inner centromere protein|INCENP,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,MIRN132 gene|MIR132,Noninfiltrating Intraductal Carcinoma,Genetic Factors,0.0,0.01098901098901099
AFFECTS,Tumorigenesis,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Xenograft procedure,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Ginkgo biloba extract,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,CCNB1 gene|CCNB1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,chemokine receptor,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Therapeutic procedure,Breast cancer metastatic,Other,0.0,0.027972027972027972
AFFECTS,Germ-Line Mutation,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Vimentin,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,MTR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Carotenoids,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Adverse reactions,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Oxidoreductase,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,Baclofen,Breast cancer metastatic,Other,0.0,0.027972027972027972
PREDISPOSES,Diphosphonates,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Epidermal Growth Factor Receptor|EGFR,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Folate,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,ORALIT,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Sex Hormone-Binding Globulin,Malignant neoplasm of breast,Demographic Factors,0.0,0.3386613386613387
PREDISPOSES,Testosterone,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,c-myc Genes|MYC,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Carotenoids,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,alpha-carotene,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
CAUSES,"9,10-Dimethyl-1,2-benzanthracene",Breast Carcinoma,Other,0.0,0.027972027972027972
AFFECTS,Treatment Protocols,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,DHX9,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Cigarette Smoking,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,stromelysin 3,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Worried,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,BARD1 gene|BARD1,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,Raloxifene Hydrochloride,Breast cancer invasive NOS,Other,0.0,0.00999000999000999
AFFECTS,ERBB3 gene|ERBB3,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AFFECTS,Somatic mutation,Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
AUGMENTS,ANO1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,Diet,Malignant neoplasm of breast,Behavioral Factors,0.0,0.3386613386613387
AFFECTS,Operative Surgical Procedures,Breast cancer invasive NOS,Other,0.0,0.00999000999000999
AFFECTS,Pharmaceutical Preparations,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Klinefelter's Syndrome,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,"Translation, Genetic",Malignant neoplasm of breast,Genetic Factors,0.0,0.3386613386613387
PREDISPOSES,alpha Tocopherol,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AUGMENTS,Estrogens,Breast Carcinoma,Hormonal Factors,0.0,0.027972027972027972
PREDISPOSES,Carrier status,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
DISRUPTS,Doxorubicin,Breast Carcinoma,Other,0.0,0.027972027972027972
PREDISPOSES,Insulin-Like Growth Factor Binding Protein 3,Noninfiltrating Intraductal Carcinoma,Other,0.0,0.01098901098901099
PREDISPOSES,distilled alcoholic beverage,Malignant neoplasm of breast,Demographic Factors,0.0,0.3386613386613387
PREDISPOSES,Flap Endonuclease-1,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
AFFECTS,"Contraceptives, Oral",Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Whole milk,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,PARITY,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
PREDISPOSES,Lymph Node Involvement,Malignant neoplasm of breast,Other,0.0,0.3386613386613387
