Source,Target,Weight
Female Breast Cancer,Angiogenesis Inhibitors,0.0009990009990009
Female Breast Cancer,ABCB1 gene|ABCB1,0.3386613386613387
Female Breast Cancer,Antisense RNA,0.0029970029970029
Female Breast Cancer,Progesterone,0.3386613386613387
Female Breast Cancer,Total cholesterol,0.3386613386613387
Female Breast Cancer,CHEK2 gene|CHEK2,0.0049950049950049
Female Breast Cancer,Estrogen Receptor alpha,0.0029970029970029
Female Breast Cancer,Lesion,0.0109890109890109
Female Breast Cancer,DNM1 gene|DNM1,0.0099900099900099
Female Breast Cancer,Enzymes,0.3386613386613387
Female Breast Cancer,educational intervention,0.3386613386613387
Female Breast Cancer,Amino Acyl-tRNA Synthetases|TRNA,0.3386613386613387
Female Breast Cancer,PGR gene|PGR,0.0
Female Breast Cancer,TRANSCRIPTION FACTOR,0.0189810189810189
Female Breast Cancer,Methionine,0.3386613386613387
Female Breast Cancer,TLR3 gene|TLR3,0.3386613386613387
Female Breast Cancer,Vascular Endothelial Growth Factor Receptor-1,0.3386613386613387
Female Breast Cancer,Tamoxifen,0.0279720279720279
Female Breast Cancer,Thromboembolic event,0.0099900099900099
Female Breast Cancer,CXCR4 gene|CXCR4,0.0
Female Breast Cancer,"Alpha-MMC protein, Momordica charantia",0.3386613386613387
Female Breast Cancer,Ovarian Serous Adenocarcinoma,0.0279720279720279
Female Breast Cancer,EGFR gene|EGFR,0.3386613386613387
Female Breast Cancer,Aryl Hydrocarbon Receptor|AHR,0.3386613386613387
Female Breast Cancer,HRH4 gene|HRH4,0.3386613386613387
Female Breast Cancer,Carrier of disorder,0.0019980019980019
Female Breast Cancer,"Fatty Acids, Omega-6",0.3386613386613387
Female Breast Cancer,"Estrogens, Synthetic",0.3386613386613387
Female Breast Cancer,CDKN1A gene|CDKN1A,0.3386613386613387
Female Breast Cancer,Drug resistance,0.0279720279720279
Female Breast Cancer,Alcohol consumption,0.0279720279720279
Female Breast Cancer,Proto-Oncogenes,0.3386613386613387
Female Breast Cancer,Disease,0.0
Female Breast Cancer,Gene Expression,0.0009990009990009
Female Breast Cancer,FGF10 gene|FGF10,0.3386613386613387
Female Breast Cancer,Protein Expression,0.0279720279720279
Female Breast Cancer,Polyunsaturated Fatty Acids,0.0279720279720279
Female Breast Cancer,Cytokine Gene,0.3386613386613387
Female Breast Cancer,PRKACA gene|PRKACA,0.3386613386613387
Female Breast Cancer,"Drugs, Investigational",0.3386613386613387
Female Breast Cancer,Neoplasm Metastasis,0.0189810189810189
Female Breast Cancer,TERT gene|TERT,0.3386613386613387
Female Breast Cancer,Solvents,0.3386613386613387
Female Breast Cancer,ITK gene|ITK,0.0279720279720279
Female Breast Cancer,Insulin-Like Growth Factor I,0.0279720279720279
Female Breast Cancer,protein tyrosine phosphatase 1B,0.3386613386613387
Female Breast Cancer,CLOCK gene|CLOCK,0.3386613386613387
Female Breast Cancer,Insulin-Like Growth Factor Binding Protein 3,0.0279720279720279
Female Breast Cancer,CA-15-3 Antigen,0.0009990009990009
Female Breast Cancer,Methylation,0.0109890109890109
Female Breast Cancer,ATM Gene Mutation,0.3386613386613387
Female Breast Cancer,inner centromere protein|INCENP,0.3386613386613387
Female Breast Cancer,MIRN132 gene|MIR132,0.0109890109890109
Female Breast Cancer,Tumorigenesis,0.0279720279720279
Female Breast Cancer,CCNB1 gene|CCNB1,0.3386613386613387
Female Breast Cancer,Germ-Line Mutation,0.0189810189810189
Female Breast Cancer,Adverse reactions,0.3386613386613387
Female Breast Cancer,Epidermal Growth Factor Receptor|EGFR,0.3386613386613387
Female Breast Cancer,Sex Hormone-Binding Globulin,0.0099900099900099
Female Breast Cancer,Testosterone,0.0099900099900099
Female Breast Cancer,c-myc Genes|MYC,0.3386613386613387
Female Breast Cancer,BARD1 gene|BARD1,0.3386613386613387
Female Breast Cancer,ERBB3 gene|ERBB3,0.0189810189810189
Female Breast Cancer,Somatic mutation,0.3386613386613387
Female Breast Cancer,Pharmaceutical Preparations,0.0099900099900099
Female Breast Cancer,Klinefelter's Syndrome,0.3386613386613387
Female Breast Cancer,"Translation, Genetic",0.0279720279720279
Female Breast Cancer,Cholesterol,0.3386613386613387
Female Breast Cancer,Cessation of life,0.0279720279720279
Female Breast Cancer,protein kinase C eta,0.3386613386613387
Female Breast Cancer,Steroid hormone,0.3386613386613387
Female Breast Cancer,anastrozole,0.0089910089910089
Female Breast Cancer,Dietary Modification,0.0039960039960039
Female Breast Cancer,Prostate-Specific Antigen,0.3386613386613387
Female Breast Cancer,Tumor Angiogenesis,0.3386613386613387
Female Breast Cancer,Cyclooxygenase 2 Inhibitors,0.3386613386613387
Female Breast Cancer,Tumor Markers,0.0279720279720279
Female Breast Cancer,Estrogen Antagonists,0.0089910089910089
Female Breast Cancer,Chemicals,0.0089910089910089
Female Breast Cancer,Matrix Metalloproteinases,0.0279720279720279
Female Breast Cancer,"Herpesvirus 4, Human",0.0279720279720279
Female Breast Cancer,Gene-Environment Interaction,0.3386613386613387
Female Breast Cancer,Aromatase Inhibitors,0.0019980019980019
Female Breast Cancer,DNA Adducts,0.3386613386613387
Female Breast Cancer,Axillary Lymph Node Dissection,0.0029970029970029
Female Breast Cancer,BRCA1 Mutation,0.0279720279720279
Female Breast Cancer,"Mammary Tumor Virus, Mouse",0.3386613386613387
Female Breast Cancer,Cytomegalovirus,0.3386613386613387
Female Breast Cancer,Linoleic Acid,0.3386613386613387
Female Breast Cancer,DNA,0.0039960039960039
Female Breast Cancer,Fibroblast Growth Factor,0.3386613386613387
Female Breast Cancer,Breast Diseases,0.3386613386613387
Female Breast Cancer,Vitamin A,0.3386613386613387
Female Breast Cancer,"Carcinogens, Environmental",0.3386613386613387
Female Breast Cancer,SV40 T Proteins,0.3386613386613387
Female Breast Cancer,Food,0.0099900099900099
Female Breast Cancer,"Polycyclic Hydrocarbons, Aromatic",0.3386613386613387
Female Breast Cancer,Vitamin C intake,0.3386613386613387
Female Breast Cancer,TFF1 gene|TFF1,0.3386613386613387
Female Breast Cancer,Radiation therapy,0.0279720279720279
Female Breast Cancer,Breast cancer recurrent,0.0029970029970029
Female Breast Cancer,Serum,0.0279720279720279
Female Breast Cancer,v-Ha-ras Oncogenes,0.3386613386613387
Female Breast Cancer,"Genes, Dominant",0.3386613386613387
Female Breast Cancer,Growth Factor,0.0279720279720279
Female Breast Cancer,Nuclear Proteins,0.3386613386613387
Female Breast Cancer,Breast Fibrocystic Disease,0.0089910089910089
Female Breast Cancer,ras Oncogene,0.3386613386613387
Female Breast Cancer,Egg Food Product,0.0099900099900099
Female Breast Cancer,Agent,0.0039960039960039
Female Breast Cancer,Cancer-Predisposing Gene,0.3386613386613387
Female Breast Cancer,Thyroid Hormones,0.0279720279720279
Female Breast Cancer,Fusion procedure,0.0109890109890109
Female Breast Cancer,Cytotoxic Chemotherapy,0.0
Female Breast Cancer,Gene Amplification,0.0279720279720279
Female Breast Cancer,Radiation,0.0099900099900099
Female Breast Cancer,Gonadotropin-Releasing Hormone Analog,0.3386613386613387
Female Breast Cancer,"Genes, Suppressor",0.3386613386613387
Female Breast Cancer,Fatty Acids,0.3386613386613387
Female Breast Cancer,Cholera Toxin,0.0279720279720279
Female Breast Cancer,Propionate,0.0279720279720279
Female Breast Cancer,Contraceptive Agents,0.3386613386613387
Female Breast Cancer,alpha-latrotoxin receptor,0.3386613386613387
Female Breast Cancer,Acute leukemia,0.0279720279720279
Female Breast Cancer,leukemia,0.3386613386613387
Female Breast Cancer,Transforming Growth Factor beta,0.0279720279720279
Female Breast Cancer,"Receptors, Progesterone",0.0009990009990009
Female Breast Cancer,soy protein isolate,0.3386613386613387
Female Breast Cancer,Peptide Nucleic Acids,0.3386613386613387
Female Breast Cancer,Combination Chemotherapy,0.0279720279720279
Female Breast Cancer,Digitoxin,0.3386613386613387
Female Breast Cancer,Infection,0.3386613386613387
Female Breast Cancer,"TGFB1 protein, human|TGFB1",0.0099900099900099
Female Breast Cancer,Selective Estrogen Receptor Modulators,0.0099900099900099
Female Breast Cancer,Cell Communication,0.0029970029970029
Female Breast Cancer,Familial cancer of breast,0.0
Female Breast Cancer,C-Peptide,0.3386613386613387
Female Breast Cancer,Breast Carcinoma,0.3386613386613387
Female Breast Cancer,Retinoblastoma Genes,0.0279720279720279
Female Breast Cancer,Lymphocyte Specific Protein Tyrosine Kinase p56(lck)|LCK,0.3386613386613387
Female Breast Cancer,CYP17A1 gene|CYP17A1,0.3386613386613387
Female Breast Cancer,Viral Oncogene,0.3386613386613387
Female Breast Cancer,Hereditary Malignant Neoplasm,0.3386613386613387
Female Breast Cancer,vitamin analog,0.0279720279720279
Female Breast Cancer,Hereditary Diseases,0.3386613386613387
Female Breast Cancer,Prostaglandins,0.3386613386613387
Female Breast Cancer,stearic acid,0.3386613386613387
Female Breast Cancer,steroid hormone receptor,0.3386613386613387
Female Breast Cancer,CUL4A gene|CUL4A,0.0279720279720279
Female Breast Cancer,NCOA3 gene|NCOA3,0.3386613386613387
Female Breast Cancer,MYC gene|MYC,0.0099900099900099
Female Breast Cancer,Ovarian Carcinoma,0.3386613386613387
Female Breast Cancer,ATM gene|ATM,0.0049950049950049
Female Breast Cancer,Antigens,0.0279720279720279
Female Breast Cancer,"TACSTD1 protein, human|EPCAM",0.3386613386613387
Female Breast Cancer,"Hydrocarbons, Chlorinated",0.3386613386613387
Female Breast Cancer,Signal Transduction Pathways,0.0279720279720279
Female Breast Cancer,AFP gene|AFP,0.3386613386613387
Female Breast Cancer,FHIT gene|FHIT,0.3386613386613387
Female Breast Cancer,Merozoite Surface Protein 1,0.3386613386613387
Female Breast Cancer,Micronutrients,0.3386613386613387
Female Breast Cancer,Hexachlorobenzene,0.3386613386613387
Female Breast Cancer,17-Ketosteroids,0.3386613386613387
Female Breast Cancer,"PTPN6 protein, human|PTPN6",0.3386613386613387
Female Breast Cancer,Epidermal Growth Factor|EGF,0.0279720279720279
Female Breast Cancer,GSTT1 gene|GSTT1,0.3386613386613387
Female Breast Cancer,impression,0.3386613386613387
Female Breast Cancer,hydroxytamoxifen,0.3386613386613387
Female Breast Cancer,"Fatty Acids, Essential",0.0189810189810189
Female Breast Cancer,Somatotropin-Releasing Hormone,0.3386613386613387
Female Breast Cancer,Oncogenes,0.0099900099900099
Female Breast Cancer,Oestrogen deficiency,0.3386613386613387
Female Breast Cancer,Butyric Acid,0.0279720279720279
Female Breast Cancer,Apoptosis Inhibiting Proteins,0.0189810189810189
Female Breast Cancer,Li-Fraumeni Syndrome,0.3386613386613387
Female Breast Cancer,Phytic Acid,0.3386613386613387
Female Breast Cancer,DNA Sequence,0.0279720279720279
Female Breast Cancer,Conjugated Equine Estrogens,0.0099900099900099
Female Breast Cancer,Protein Kinase C,0.3386613386613387
Female Breast Cancer,Nutrients,0.0189810189810189
Female Breast Cancer,Receptor Protein-Tyrosine Kinases,0.0099900099900099
Female Breast Cancer,Glucose,0.3386613386613387
Female Breast Cancer,Vitamins,0.3386613386613387
Female Breast Cancer,Epithelial Cell Proliferation,0.0279720279720279
Female Breast Cancer,Transgenes,0.0029970029970029
Female Breast Cancer,GSTM1 gene|GSTM1,0.0279720279720279
Female Breast Cancer,TSG101 gene|TSG101,0.0099900099900099
Female Breast Cancer,Aromatase,0.0109890109890109
Female Breast Cancer,trastuzumab,0.0089910089910089
Female Breast Cancer,Primary carcinoma of the liver cells,0.3386613386613387
Female Breast Cancer,Cellular Retinol Binding Protein,0.3386613386613387
Female Breast Cancer,Down-Regulation,0.0109890109890109
Female Breast Cancer,Body Fat Distribution,0.3386613386613387
Female Breast Cancer,CYP19A1 gene|CYP19A1,0.3386613386613387
Female Breast Cancer,Thyroid Diseases,0.3386613386613387
Female Breast Cancer,Spontaneous abortion,0.3386613386613387
Female Breast Cancer,"Mutation, Missense",0.3386613386613387
Female Breast Cancer,"Abortion, Induced",0.3386613386613387
Female Breast Cancer,Oestrogen increased,0.3386613386613387
Female Breast Cancer,cyclooxygenase 2,0.0279720279720279
Female Breast Cancer,"Fatty Acids, Omega-3",0.3386613386613387
Female Breast Cancer,Adhesions,0.0279720279720279
Female Breast Cancer,Unspecified Abortion,0.3386613386613387
Female Breast Cancer,DNA Damage,0.3386613386613387
Female Breast Cancer,Tumor Promoters,0.0009990009990009
Female Breast Cancer,Noninfiltrating Intraductal Carcinoma,0.0089910089910089
Female Breast Cancer,Docosahexaenoic Acids,0.3386613386613387
Female Breast Cancer,protein kinase inhibitor,0.3386613386613387
Female Breast Cancer,Breast Microcalcification,0.0109890109890109
Female Breast Cancer,Progestogen hormone therapy,0.3386613386613387
Female Breast Cancer,Epidermal growth factor receptor inhibitor,0.3386613386613387
Female Breast Cancer,"Oligonucleotides, Antisense",0.0279720279720279
Female Breast Cancer,Infiltrating duct carcinoma,0.3386613386613387
Female Breast Cancer,"Mutation, Nonsense",0.3386613386613387
Female Breast Cancer,"Metals, Heavy",0.3386613386613387
Female Breast Cancer,Insulin-Like Growth Factor II,0.3386613386613387
Female Breast Cancer,MCM2 gene|MCM2,0.3386613386613387
Female Breast Cancer,ESTROGEN USE,0.0279720279720279
Female Breast Cancer,Vitamin D3 Receptor,0.3386613386613387
Female Breast Cancer,genotoxicity,0.3386613386613387
Female Breast Cancer,DDT (Insecticide),0.0049950049950049
Female Breast Cancer,STK6 gene|AURKA,0.3386613386613387
Female Breast Cancer,Vitamin E,0.3386613386613387
Female Breast Cancer,Soy Proteins,0.3386613386613387
Female Breast Cancer,Transcriptional Activation,0.0279720279720279
Female Breast Cancer,Encounter due to Screening for malignant neoplasm of breast,0.0099900099900099
Female Breast Cancer,LAG3 gene|LAG3,0.3386613386613387
Female Breast Cancer,Estrogenic,0.0279720279720279
Female Breast Cancer,Signal Transduction,0.0189810189810189
Female Breast Cancer,Lipoproteins,0.3386613386613387
Female Breast Cancer,Transforming Growth Factor beta|TGFB1,0.3386613386613387
Female Breast Cancer,CA9 gene|CA9,0.3386613386613387
Female Breast Cancer,Cytotoxin,0.3386613386613387
Female Breast Cancer,Dietary Carbohydrates,0.3386613386613387
Female Breast Cancer,"VEGF protein, human|VEGFA",0.3386613386613387
Female Breast Cancer,Estrogen Receptor alpha|EREG|ESR1,0.0099900099900099
Female Breast Cancer,Encounter due to genetic counseling,0.0019980019980019
Female Breast Cancer,"Progestational Hormones, Synthetic",0.3386613386613387
Female Breast Cancer,Focal Adhesion Protein-Tyrosine Kinases,0.3386613386613387
Female Breast Cancer,SULT gene,0.3386613386613387
Female Breast Cancer,Proteins,0.0279720279720279
Female Breast Cancer,Human papillomavirus 16,0.3386613386613387
Female Breast Cancer,MET gene,0.3386613386613387
Female Breast Cancer,Cholesterol levels raised,0.3386613386613387
Female Breast Cancer,Dietary restriction NOS,0.3386613386613387
Female Breast Cancer,Polycyclic Hydrocarbons,0.0279720279720279
Female Breast Cancer,Estrogen receptor positive tumor,0.3386613386613387
Female Breast Cancer,migration stimulating factor,0.3386613386613387
Female Breast Cancer,ERCC2 gene|ERCC2,0.3386613386613387
Female Breast Cancer,Monoclonal Antibody Therapy,0.3386613386613387
Female Breast Cancer,Arachidonic Acid,0.3386613386613387
Female Breast Cancer,apolipoprotein D|APOD,0.0279720279720279
Female Breast Cancer,"progesterone, micronized",0.3386613386613387
Female Breast Cancer,rho GTP-Binding Proteins,0.0099900099900099
Female Breast Cancer,RETN gene|RETN,0.3386613386613387
Female Breast Cancer,Cancer Promoting Genes,0.3386613386613387
Female Breast Cancer,HIC1 gene|HIC1,0.0029970029970029
Female Breast Cancer,cytokine,0.0189810189810189
Female Breast Cancer,Oestrogen therapy,0.3386613386613387
Female Breast Cancer,Receptor Gene,0.3386613386613387
Female Breast Cancer,Fusion Protein,0.0279720279720279
Female Breast Cancer,Molecular Fingerprint of Tumor,0.3386613386613387
Female Breast Cancer,Impaired cognition,0.3386613386613387
Female Breast Cancer,Transcription Repressor/Corepressor,0.3386613386613387
Female Breast Cancer,Nicotinamide adenine dinucleotide (NAD),0.3386613386613387
Female Breast Cancer,ETS1 gene|ETS1,0.0279720279720279
Female Breast Cancer,S-Phase Fraction,0.0049950049950049
Female Breast Cancer,HSF1 gene|HSF1,0.3386613386613387
Female Breast Cancer,"TNF protein, human|TNF",0.3386613386613387
Female Breast Cancer,Acids,0.3386613386613387
Female Breast Cancer,WISP3 gene|WISP3,0.0009990009990009
Female Breast Cancer,Steroids,0.0279720279720279
Female Breast Cancer,LAMR1 gene|RPSA,0.3386613386613387
Female Breast Cancer,osteosarcoma,0.0279720279720279
Female Breast Cancer,"RNA, Untranslated",0.0009990009990009
Female Breast Cancer,"RBL2 protein, human|RBL2",0.3386613386613387
Female Breast Cancer,Oncogene ErbB2|ERBB2|NEU1|NEURL1,0.3386613386613387
Female Breast Cancer,SHFM1 gene|SEM1,0.3386613386613387
Female Breast Cancer,participation,0.0279720279720279
Female Breast Cancer,DNA Repair Gene,0.0
Female Breast Cancer,Processed meat intake,0.3386613386613387
Female Breast Cancer,stress-activated protein kinase 1,0.3386613386613387
Female Breast Cancer,MTHFR gene|MTHFR,0.3386613386613387
Female Breast Cancer,Phytochemical,0.3386613386613387
Female Breast Cancer,Phosphoglycerate dehydrogenase|PHGDH,0.3386613386613387
Female Breast Cancer,Topoisomerase Inhibitors,0.0279720279720279
Female Breast Cancer,Neoplasm progression,0.0279720279720279
Female Breast Cancer,Virus,0.0279720279720279
Female Breast Cancer,Point Mutation,0.3386613386613387
Female Breast Cancer,Carcinogenesis,0.0009990009990009
Female Breast Cancer,Pathogenesis,0.3386613386613387
Female Breast Cancer,Angiogenesis,0.0009990009990009
Female Breast Cancer,Vitamin D intake,0.3386613386613387
Female Breast Cancer,AXL gene|AXL,0.3386613386613387
Female Breast Cancer,JTB gene|JTB,0.3386613386613387
Female Breast Cancer,Vitamin intake,0.3386613386613387
Female Breast Cancer,toxicant,0.3386613386613387
Female Breast Cancer,Soy Foods,0.3386613386613387
Female Breast Cancer,HIF1A gene|HIF1A,0.0109890109890109
Female Breast Cancer,Metabolic syndrome,0.0279720279720279
Female Breast Cancer,Proto-Oncogene Proteins c-akt|AKT1,0.0279720279720279
Female Breast Cancer,"Transcription, Genetic",0.0279720279720279
Female Breast Cancer,Visual Accommodation,0.3386613386613387
Female Breast Cancer,cancer prevention,0.3386613386613387
Female Breast Cancer,Hormone Receptor,0.0279720279720279
Female Breast Cancer,Placental Hormones,0.3386613386613387
Female Breast Cancer,congener,0.3386613386613387
Female Breast Cancer,Xanthine Dehydrogenase,0.3386613386613387
Female Breast Cancer,progesterone analog,0.3386613386613387
Female Breast Cancer,Epidermal Growth Factor Receptor|EREG|ESR1,0.3386613386613387
Female Breast Cancer,CASP8 gene|CASP8,0.3386613386613387
Female Breast Cancer,Estrogen Receptor beta,0.3386613386613387
Female Breast Cancer,Glutathione S-Transferase,0.3386613386613387
Female Breast Cancer,BHMT gene|BHMT,0.3386613386613387
Female Breast Cancer,CXCL12 gene|CXCL12,0.0279720279720279
Female Breast Cancer,PTEN gene|PTEN,0.0279720279720279
Female Breast Cancer,Candidate Disease Gene,0.0
Female Breast Cancer,Tumorigenicity,0.3386613386613387
Female Breast Cancer,Small Nucleolar RNA,0.3386613386613387
Female Breast Cancer,Protein p53|TP53,0.3386613386613387
Female Breast Cancer,gene polymorphism,0.0279720279720279
Female Breast Cancer,Hypertensive disease,0.3386613386613387
Female Breast Cancer,Malignant Bone Neoplasm,0.0279720279720279
Female Breast Cancer,Endocrine Disruptors,0.0089910089910089
Female Breast Cancer,Cardiovascular Diseases,0.3386613386613387
Female Breast Cancer,MIRN34A gene|MIR34A,0.0279720279720279
Female Breast Cancer,systemic administration,0.0
Female Breast Cancer,progesterone receptor positive,0.3386613386613387
Female Breast Cancer,Receptor Activation,0.3386613386613387
Female Breast Cancer,Secondary malignant neoplasm of lymph node,0.0279720279720279
Female Breast Cancer,F3 gene|F3,0.3386613386613387
Female Breast Cancer,RSU1 gene|RSU1,0.3386613386613387
Female Breast Cancer,3' Untranslated Regions,0.3386613386613387
Female Breast Cancer,Induction,0.0279720279720279
Female Breast Cancer,Paget's Disease,0.0279720279720279
Female Breast Cancer,curdione,0.3386613386613387
Female Breast Cancer,GATA3 gene|GATA3,0.3386613386613387
Female Breast Cancer,Response Elements,0.3386613386613387
Female Breast Cancer,LOH11CR2A gene|VWA5A,0.0279720279720279
Female Breast Cancer,Prevention,0.0279720279720279
Female Breast Cancer,PTPN12 gene|PTPN12,0.3386613386613387
Female Breast Cancer,Extracellular Protein,0.3386613386613387
Female Breast Cancer,Functional RNA,0.0279720279720279
Female Breast Cancer,Estrogen Receptor beta|ESR2,0.0029970029970029
Female Breast Cancer,FOXC1 gene|FOXC1,0.3386613386613387
Female Breast Cancer,Infiltration,0.0009990009990009
Female Breast Cancer,Therapeutic agent (substance),0.3386613386613387
Female Breast Cancer,Hyperandrogenemia,0.3386613386613387
Female Breast Cancer,RAB8A gene|RAB8A,0.3386613386613387
Female Breast Cancer,ZYX gene|ZYX,0.3386613386613387
Female Breast Cancer,NCOR2 gene|NCOR2,0.3386613386613387
Female Breast Cancer,Ethacrynic Acid,0.3386613386613387
Female Breast Cancer,Exertion,0.3386613386613387
Female Breast Cancer,"MAPK14 protein, human|MAPK14",0.0099900099900099
Female Breast Cancer,Fibroblast Growth Factor Receptors,0.0279720279720279
Female Breast Cancer,Dehydration,0.3386613386613387
Female Breast Cancer,Tumor Cell Invasion,0.3386613386613387
Female Breast Cancer,Transforming Growth Factor beta Receptors,0.0089910089910089
Female Breast Cancer,Forkhead Transcription Factors,0.3386613386613387
Female Breast Cancer,zoledronic acid,0.0
Female Breast Cancer,"Ribosomal Protein S6 Kinases, 70-kDa|RPS6KB1",0.3386613386613387
Female Breast Cancer,Metalloproteases,0.3386613386613387
Female Breast Cancer,"Receptors, Progesterone|PGR",0.3386613386613387
Female Breast Cancer,vasodilator-stimulated phosphoprotein,0.0279720279720279
Female Breast Cancer,Neoantigen,0.3386613386613387
Female Breast Cancer,TNFRSF6B gene|TNFRSF6B,0.3386613386613387
Female Breast Cancer,XRCC3 gene|XRCC3,0.3386613386613387
Female Breast Cancer,prevention through information dissemination,0.3386613386613387
Female Breast Cancer,Metaplastic Breast Carcinoma,0.0029970029970029
Female Breast Cancer,tumor growth,0.0189810189810189
Female Breast Cancer,RUNX1 gene|RUNX1,0.3386613386613387
Female Breast Cancer,hepatocellular carcinoma protein 1,0.0279720279720279
Female Breast Cancer,"RNA, Messenger",0.0189810189810189
Female Breast Cancer,Regulatory Element,0.3386613386613387
Female Breast Cancer,MIR gene|MLXIP|MYLIP|MARCH8,0.3386613386613387
Female Breast Cancer,Cytotoxic T-Lymphocyte-Associated Protein 4,0.3386613386613387
Female Breast Cancer,Malignant neoplasm of breast,0.0039960039960039
Female Breast Cancer,OBSCN gene|OBSCN,0.3386613386613387
Female Breast Cancer,STAT5A gene|STAT5A,0.3386613386613387
Female Breast Cancer,Secondary malignant neoplasm of bone,0.0279720279720279
Female Breast Cancer,AKT2 gene|AKT2,0.3386613386613387
Female Breast Cancer,GPR1 gene|GPR1,0.3386613386613387
Female Breast Cancer,DNAJB4,0.3386613386613387
Female Breast Cancer,SHH gene|SHH,0.3386613386613387
Female Breast Cancer,Phosphoproteins,0.3386613386613387
Female Breast Cancer,depolarization,0.3386613386613387
Female Breast Cancer,MERTK gene|MERTK,0.3386613386613387
Female Breast Cancer,Vitamin B 12,0.3386613386613387
Female Breast Cancer,Peptides,0.3386613386613387
Female Breast Cancer,Cyclic AMP-Responsive DNA-Binding Protein,0.0279720279720279
Female Breast Cancer,Variation (Genetics),0.0089910089910089
Female Breast Cancer,"Genes, X-Linked",0.3386613386613387
Female Breast Cancer,"PDGFA protein, human|PDGFA",0.3386613386613387
Female Breast Cancer,"Biological function, NOS",0.0279720279720279
Female Breast Cancer,CYP3A4 gene|CYP3A4,0.3386613386613387
Female Breast Cancer,CXCL13 gene|CXCL13,0.3386613386613387
Female Breast Cancer,"Carcinoma, Non-Small-Cell Lung",0.3386613386613387
Female Breast Cancer,Small cell carcinoma of lung,0.3386613386613387
Female Breast Cancer,PTHLH gene|PTHLH,0.3386613386613387
Female Breast Cancer,Radionuclide Imaging,0.0
Female Breast Cancer,DNAJC2,0.3386613386613387
Female Breast Cancer,TYMS gene|TYMS,0.3386613386613387
Female Breast Cancer,"sal protein, Drosophila",0.0099900099900099
Female Breast Cancer,Gonadal Steroid Hormones,0.0089910089910089
Female Breast Cancer,Endocrine substance,0.3386613386613387
Female Breast Cancer,EGFL6 gene|EGFL6,0.3386613386613387
Female Breast Cancer,MULTISECTION:FINDING:POINT IN TIME:BREAST:NARRATIVE:MRI,0.0009990009990009
Female Breast Cancer,NOTCH1 gene,0.0099900099900099
Female Breast Cancer,blood lipid,0.3386613386613387
Female Breast Cancer,ESR2 gene|ESR2,0.3386613386613387
Female Breast Cancer,Inflammation Mediators,0.3386613386613387
Female Breast Cancer,"UBD protein, human|UBD",0.3386613386613387
Female Breast Cancer,Mammary Tumorigenesis,0.3386613386613387
Female Breast Cancer,DNA Modification Methylases|DNMT1,0.3386613386613387
Female Breast Cancer,"FRAP1 protein, human|MTOR",0.0189810189810189
Female Breast Cancer,Estrogenic effect,0.3386613386613387
