Breast Cancer Type 1 Susceptibility Protein Measurement,Contralateral breast cancer,Tubular breast cancer,stage IIIA breast cancer,Locally advanced breast cancer,stage IIIB breast cancer,breast cancer diagnosis,estrogen receptor-positive breast cancer,bilateral breast cancer,stage IA breast cancer,progesterone receptor-negative breast cancer,Suspected breast cancer,progesterone receptor-positive breast cancer,Mucinous breast cancer,Lumpectomy (breast cancer),"cellular diagnosis, breast cancer",Family history of breast cancer,HER2-negative breast cancer,contralateral breast cancer,Breast Cancer Model,breast cancer prevention,Breast Cancer Surveillance Consortium,hormone receptor/growth factor receptor-negative breast cancer,allogeneic GM-CSF-secreting breast cancer vaccine,Breast cancer metastatic,Invasive ductal breast cancer,estrogen receptor-negative breast cancer,"stage, breast cancer",Breast Cancer Radiotherapy,Breast cancer invasive NOS,Advanced breast cancer diagnosis
,Encounter due to genetic counseling,Radiation therapy,Lung,Trastuzumab Regimen,Pharmacotherapy,Assisting,ESR1,Neoplasm,,,Radionuclide Imaging,,post surgery radiation therapy,,,dietary intervention,Targeted Therapy,TP53 gene|TP53,,Clinical Research,,palbociclib,,,Operative Surgical Procedures,Pharmacotherapy,tomography,,,
,Tamoxifen,Operative Surgical Procedures,Therapeutic procedure,Pharmacotherapy,adjuvant therapy,Medical Imaging,Hormone Therapy,Neoplasm,,,Ultrasonography,,post surgery radiation therapy,,,Woman,bevacizumab,BRCA2 gene|BRCA2,,Tamoxifen,,palbociclib,,,Pharmacotherapy,Duration,Magnetic Resonance Imaging,,,
,adjuvant therapy,Malignant neoplasm of breast,"Chemotherapy, Adjuvant",Pharmacotherapy,"3,4-Methylenedioxyamphetamine",Medical Devices,Oncogenes,Mothers,,,Ultrasonography,,Malignant neoplasm of breast,,,Underinsured,Taxanes,GPER1 gene|GPER1,,"Clinical Trials, Phase III",,inhibitors,,,Tissue specimen,Hepatocyte Growth Factor,Ultrasonography,,,
,Tamoxifen,Body tissue,"Radiotherapy, Adjuvant",Pharmacotherapy,Pharmacotherapy,Malignant neoplasm of breast,Phosphatidylinositide 3-Kinase Inhibitor,Malignant neoplasm of breast,,,Health Care,,Hemorrhage,,,ADAMTS2 gene|ADAMTS4|ADAMTS2,Pharmacotherapy,ATM,,Pharmaceutical Preparations,,sacituzumab govitecan,,,Mastectomy,doxorubicin,Radiation therapy,,,
,BRCA1 gene|BRCA1,,Radiation therapy,docetaxel,Modified radical mastectomy,Radiopharmaceuticals,ESR1,Neoplasm,,,Biopsy,,Pharmacotherapy,,,Participant,Bevacizumab/Capecitabine,"GPER protein, human|GPER1",,Malignant neoplasm of breast,,letrozole,,,"Chemotherapy, Adjuvant",GPER1 gene|GPER1,Therapeutic procedure,,,
,Pharmaceutical Preparations,,Ethinyl Estradiol,Pharmacotherapy,high-dose chemotherapy,Computer Aided Detection Systems,Neoadjuvant Therapy,Ovarian Carcinoma,,,Diagnostic radiologic examination,,Pharmacotherapy,,,Malignant neoplasm of breast,Second line treatment,Single Nucleotide Polymorphism,,Selective Estrogen Receptor Modulators,,sacituzumab govitecan,,,Immunohistochemistry,doxorubicin,PDPN,,,
,breast cancer diagnosis,,Radiation therapy,docetaxel,Autologous Stem Cell Transplantation,Bone Diseases,Oncogenes,Syndrome,,,Percutaneous needle biopsy,,Extracellular Vesicles,,,Woman,Capecitabine/Vinorelbine,ATM,,Genistein,,letrozole,,,"Tissue, Fresh",EMP2 gene|EMP2,PDPN,,,
,Tamoxifen,,Radiation therapy,Aromatase Inhibitors,high-dose chemotherapy,Mammography,cytidylyl-3'-5'-guanosine,Bilateral mastectomy,,,Mammography,,,,,Risk Assessment,Adjuvant Therapy,Single Nucleotide Polymorphism,,Therapeutic procedure,,palbociclib,,,"Chemotherapy, Adjuvant",Pharmacotherapy,Imaging Techniques,,,
,Tamoxifen,,Therapeutic procedure,EC Breast Regimen,high-dose chemotherapy,Mammography,ARID1A gene|ARID1A,Operative Surgical Procedures,,,Detection,,,,,Malignant Neoplasms,AZD5363,Prune Belly Syndrome,,Aromatase Inhibitors,,First line treatment,,,Operative Surgical Procedures,paclitaxel,Operative Surgical Procedures,,,
,Malignant neoplasm of breast,,,Excision of axillary lymph nodes group,Mitoxantrone,Procedures,ARID1A gene|ARID1A,Peutz-Jeghers Syndrome,,,Scanning,,,,,Malignant neoplasm of thyroid,bevacizumab,Contralateral Prophylactic Mastectomy,,Finasteride,,sacituzumab govitecan,,,Breast,PBX1 gene|PBX1,Radiation therapy,,,
,Fenretinide,,,Neoadjuvant Therapy,Treatment Protocols,Therapeutic procedure,zoledronic acid,Disease,,,Diagnosis,,,,,Malignant neoplasm of breast,Pharmacotherapy,Pathogenic,,Advice,,Second line treatment,,,Secondary malignant neoplasm of lymph node,PBX1 gene|PBX1,Detection,,,
,Tamoxifen,,,Extraction,Carboplatin,Radionuclide Imaging,PGR gene|PGR,Clinical finding,,,Patient referral,,,,,,Second line treatment,Pathogenic,,Woman,,Hormone Therapy,,,MDM2 gene|MDM2,paclitaxel,Breast Self-Examination,,,
,Therapeutic procedure,,,Neoadjuvant Therapy,Thiotepa,letrozole,RNLS gene|RNLS,Clomiphene,,,Urgent referral,,,,,,capecitabine,Aromatase Inhibitors,,Hydroxymethylglutaryl-CoA Reductase Inhibitors,,Antineoplastic Agents,,,Secondary malignant neoplasm of lymph node,sphingosine kinase-1,Detection,,,
,Population Group,,,"Mastectomy, Subcutaneous",trastuzumab,Self Care,ARID1A gene|ARID1A,Neoplasm,,,Cytological Techniques,,,,,,Antineoplastic Agents,BRCA Mutation Analysis,,Woman,,Hormone Therapy,,,Neoplasm,Pharmacotherapy,Medical exam,,,
,Tamoxifen,,,Pharmacotherapy,TP53 gene|TP53,trastuzumab,epithelial to mesenchymal transition,Neoplasm,,,Core needle biopsy,,,,,,Pharmacotherapy,Diphosphonates,,Mothers,,N-(2-amino-5-fluorobenzyl)-4-(N-(pyridine-3-acrylyl)aminomethyl)benzamide,,,Invasive Carcinoma,Tumor Progression,Disease,,,
,Tamoxifen,,,Pharmacotherapy,,Mandibular right first molar abutment,tamoxifen,Malignant neoplasm of breast,,,,,,,,,Pharmacotherapy,Patients,,Surveys,,Aromatase Inhibitors,,,MDM2 gene|MDM2,FGFBP1 gene|FGFBP1,"Tomography, Emission-Computed, Single-Photon",,,
,Radiation therapy,,,Neoadjuvant Therapy,,Malignant Neoplasms,Dietary Iron,Neoplasm Metastasis,,,,,,,,,Pharmacotherapy,Radiation,,Tamoxifen,,abemaciclib,,,Excision,Radon,Diagnostic Neoplasm Staging,,,
,Synthetic antiestrogen,,,TOP2A gene|TOP2A,,Diagnosis,"TNFRSF11A protein, human|TNFRSF11A",Malignant neoplasm of breast,,,,,,,,,Pharmacotherapy,Malignant Neoplasms,,dietary intervention,,Hormone Therapy,,,Monocyte Chemoattractant Protein-1,Genes,Axillary lymph node group,,,
,Tamoxifen,,,Aromatase Inhibitors,,Health System,SLC3A2 gene|SLC3A2,Gene Abnormality,,,,,,,,,Pharmacotherapy,Right-Sided Breast Neoplasms,,Therapeutic procedure,,,,,Neoplasm,AGR2,Axillary lymph node group,,,
,Malignant neoplasm of breast,,,EC Breast Regimen,,Immunity,Estrogen Receptors,Malignant neoplasm of breast,,,,,,,,,durvalumab,Sporadic Breast Carcinoma,,Pharmacotherapy,,,,,Proliferating Cell Nuclear Antigen,Tumor Progression,Dissection,,,
,Tamoxifen,,,Pharmacotherapy,,Immunohistochemistry,"TNFRSF11A protein, human|TNFRSF11A",TP53 gene|TP53,,,,,,,,,Second line treatment,Bilateral mastectomy,,Noninfiltrating Intraductal Carcinoma,,,,,"Receptors, Steroid",rivaroxaban,Primary Neoplasm,,,
,Breast surgery,,,Pharmacotherapy,,Malignant neoplasm of breast,Hormone Therapy,TP53 gene|TP53,,,,,,,,,Hormone Therapy,Contralateral Prophylactic Mastectomy,,Clinical Research,,,,,Large Intestine,epsin,Biopsy,,,
,Genitourinary Cancer,,,TOP2A gene|TOP2A,,Cessation of life,Pharmacotherapy,Ethanol,,,,,,,,,Adjuvant Therapy,Left breast,,Tamoxifen,,,,,"Tissue, Paraffin",Targeted Therapy,"Tomography, Emission-Computed, Single-Photon",,,
,Menopausal Status,,,Pharmacotherapy,,Diabetes,Pharmacotherapy,Alcohol consumption,,,,,,,,,bevacizumab,Diffusion weighted imaging,,Woman,,,,,"Receptors, Steroid|EREG|ESR1",NF-kappa B,Axillary lymph node group,,,
,adjuvant therapy,,,Mastectomy,,Clinical Management,Malignant neoplasm of breast,Ultrasonography,,,,,,,,,vinorelbine,Diffusion weighted imaging,,Tamoxifen,,,,,"Receptors, Steroid",estrogen receptor-positive breast cancer,Axillary Lymph Node Dissection,,,
,Menopausal Status,,,removal technique,,Malignant neoplasm of endometrium,Aromatase Inhibitors,Malignant Neoplasms,,,,,,,,,Pharmacotherapy,Smoking,,Woman,,,,,Lymph node excision,rivaroxaban,Aromatase,,,
,Tamoxifen,,,Pharmacotherapy,,"Spectrum Analysis, Raman",ESR1,Fatty acid glycerol esters,,,,,,,,,Second line treatment,Contralateral Prophylactic Mastectomy,,Woman,,,,,Mastectomy,E2F5 gene|E2F5,Obesity,,,
,SCPEP1,,,removal technique,,Symptoms,Pharmacotherapy,Malignant neoplasm of breast,,,,,,,,,Taxanes,Ultrasonography,,AR gene|AR,,,,,Morphometric analysis,cytokine,Magnetic Resonance Imaging,,,
,Tamoxifen,,,Pharmacotherapy,,HIGH SENSITIVITY,Androgen Receptor,Mammography,,,,,,,,,Pharmacotherapy,Mammography,,anastrozole,,,,,Monoclonal Antibodies,Interferon Regulatory Factor 8,Positron-Emission Tomography,,,
,Patients,,,Chemotherapy cycle,,Patients,IMPACT gene,Oleic Acid,,,,,,,,,vinorelbine,Data Collection,,Woman,,,,,Infiltration,Infiltration,Positron-Emission Tomography,,,
,Tamoxifen,,,Pharmacotherapy,,Diagnosis,Phosphatidylinositide 3-Kinase Inhibitor,Mammography,,,,,,,,,trebananib,Mutation,,Woman,,,,,Morphometric analysis,TWIST1 gene|TWIST1,Mammography,,,
,bilateral breast cancer,,,Mastectomy,,Contralateral breast cancer,RNLS gene|RNLS,Malignant neoplasm of breast,,,,,,,,,AKR1A1 wt Allele,Breast Therapy,,Hyperplasia,,,,,Body tissue,PRKCQ gene|PRKCQ,Excision,,,
,Pharmacotherapy,,,Aneuploidy,,Hormone replacement therapy,tamoxifen,Prolactinoma,,,,,,,,,Pharmacotherapy,Moderate risk,,Underserved Population,,,,,Body tissue,Infiltration,Gamma Cameras,,,
,Malignant neoplasm of breast,,,Mastectomy,,Hormone replacement therapy,Phosphatidylinositide 3-Kinase Inhibitor,Malignant neoplasm of breast,,,,,,,,,talazoparib,ATM,,Estrogen Antagonists,,,,,Body tissue,Prognosis bad,Positron-Emission Tomography,,,
,Radiation therapy,,,Sentinel Lymph Node Biopsy,,follow-up,First line treatment,Operative Surgical Procedures,,,,,,,,,Chemotherapy Regimen,Magnetic resonance imaging of breast,,Tamoxifen,,,,,Body tissue,Syndecan-4,Individual,,,
,breast cancer diagnosis,,,Aneuploidy,,"Hospitals, County",Hormone Therapy,TP53 gene|TP53,,,,,,,,,Pharmacotherapy,Risk Analysis,,Tamoxifen,,,,,"Spectrophotometry, Atomic Absorption",Drug resistance,Vitamin D,,,
,Tamoxifen,,,Mastectomy,,Group Therapy,everolimus,Radiation therapy,,,,,,,,,cisplatin,Magnetic resonance imaging of breast,,agonists,,,,,Tumor Antigens,Mammary Ductal Carcinoma,Woman,,,
,Tamoxifen,,,Sentinel Lymph Node Biopsy,,Mammography,tamoxifen,Individual,,,,,,,,,First line treatment,Magnetic resonance imaging of breast,,Clinical Research,,,,,Metallothionein,Estrogen Receptor alpha,Stem Cell Factor,,,
,Tamoxifen,,,Mastectomy,,Biopsy,tamoxifen,Radiation therapy,,,,,,,,,Second line treatment,Pharmacotherapy,,Chemopreventive Agent,,,,,Proteins,High Grade Malignant Neoplasm,Disease,,,
,anastrozole,,,Pharmacotherapy,,Ovarian Carcinoma,Pharmacotherapy,Open wounds NOS,,,,,,,,,Carboplatin/Paclitaxel,Physical function,,indole-3-carbinol,,,,,Operative Surgical Procedures,Transferrin,African race,,,
,Fenretinide,,,Mastectomy,,Mammography,ESR1,Transcatheter arterial embolization,,,,,,,,,Cytotoxic Chemotherapy,Sporadic Breast Carcinoma,,Disease,,,,,Radiation therapy,Oxytocin Receptor,Magnetic Resonance Imaging,,,
,Malignant neoplasm of breast,,,Pharmacotherapy,,Malignant neoplasm of prostate,Selective Estrogen Receptor Down Regulator,Pharmacotherapy,,,,,,,,,thymidine kinase 1,Physical function,,"Diet, Fat-Restricted",,,,,Forehead,Human Age Group,Hispanics,,,
,Patients,,,Pharmacotherapy,,Therapeutic procedure,RET,Axillary lymph node group,,,,,,,,,Second line treatment,Mammographic Breast Density,,Disseminated Malignant Neoplasm,,,,,Sodium measurement,sesamol,Therapeutic procedure,,,
,Neoplasm Metastasis,,,paclitaxel,,Advance,"CCNE1 protein, human|CCNE1",Lung,,,,,,,,,Second line treatment,Magnetic Resonance Imaging,,indole-3-carbinol,,,,,"SLC5A5 protein, human|SLC5A5",Assay,Caucasoid Race,,,
,Fenretinide,,,Pharmacotherapy,,"Leukemia, Myelocytic, Acute","CCNE1 protein, human|CCNE1",adjuvant therapy,,,,,,,,,Combined Modality Therapy,Woman,,Clinical Research,,,,,Cadherins,EDAR gene|EDAR,Neoplasm,,,
,Woman,,,Pharmacotherapy,,Malignant neoplasm of breast,PGR gene|PGR,Malignant Neoplasms,,,,,,,,,cisplatin,TP53,,Therapeutic procedure,,,,,Metallothionein,"Chromosomes, Human, Pair 2",Fine needle aspiration biopsy,,,
,Woman,,,hydrogen peroxide,,"Leukemia, Myelocytic, Acute",FOXM1 gene|FOXM1,Contralateral breast cancer,,,,,,,,,olaparib,Magnetic Resonance Imaging,,Raloxifene,,,,,Body tissue,Stroma,PAXIP1,,,
,Tamoxifen,,,Neoadjuvant Therapy,,Diagnosis,Pharmacotherapy,Tumor Antigens,,,,,,,,,First line treatment,Prophylactic Mastectomy,,Tamoxifen,,,,,PGR gene|PGR,WDR43 gene|WDR43,Dermatomyositis,,,
,Malignant Neoplasms,,,Neoadjuvant Therapy,,thermography,Aromatase Inhibitors,Hodgkin Disease,,,,,,,,,Pharmacotherapy,Risk Scores,,Therapeutic procedure,,,,,maspin|SERPINB5,Malignant neoplasm of breast,BIRC5 gene|BIRC5,,,
,Patients,,,hydrogen peroxide,,Scanning,fulvestrant,Antigens,,,,,,,,,palbociclib,Detection,,Clinical Research,,,,,Human tissue,PLB1 gene|PLB1,Fatty-acid synthase,,,
,Radiation therapy,,,paclitaxel,,Assessment procedure,Ultrasonography,Patients,,,,,,,,,palbociclib,CHEK2 gene|CHEK2,,Pharmaceutical Preparations,,,,,"PTTG1 protein, human|PTTG1",RAC2 gene|RAC2,SHARPIN,,,
,Malignant neoplasm of breast,,,Pharmacotherapy,,Reconstructive Surgical Procedures,Triple Negative Breast Neoplasms,Estrogen Receptors,,,,,,,,,Carcinomatosis,Tomotherapy,,Tamoxifen,,,,,Neoplasm,Estrogen Receptor alpha,DHX32,,,
,Mammaplasty,,,Pharmacotherapy,,Carrier of disorder,ESTROGEN RESISTANCE,Malignant neoplasm of breast,,,,,,,,,ribociclib,PALB2 gene|PALB2,,Estrogen Antagonists,,,,,"PTTG1 protein, human|PTTG1",Androgen Receptor,VEGFA,,,
,Fenretinide,,,Pharmacotherapy,,Contralateral breast cancer,Hormone Therapy,Neoplasm,,,,,,,,,ribociclib,Genes,,Tamoxifen,,,,,Proto-Oncogene Proteins c-akt|AKT1,AMACR wt Allele,Mitogen-Activated Protein Kinases,,,
,Malignant neoplasm of breast,,,Biomarker Analysis,,IMMUNOHISTOCHEMICAL,"KRT5 protein, human|KRT5",Mammography,,,,,,,,,Pharmacotherapy,BRCA2 gene|BRCA2,,Tamoxifen,,,,,Estrogens,Body tissue,NFKB1,,,
,anastrozole,,,Reconstructive Surgical Procedures,,Carcinogenesis,Aromatase Inhibitors,Silicone gel implant,,,,,,,,,Pharmacotherapy,Magnetic Resonance Imaging,,Rattus norvegicus,,,,,Tamoxifen,SLC26A3 gene|SLC26A3,Sentinel Lymph Node Biopsy,,,
,anastrozole,,,Mammaplasty,,thermography,Tumor Suppressor Genes,Gynecomastia,,,,,,,,,Pharmacotherapy,Surviving free of recurrence of neoplastic disease,,Raloxifene,,,,,Metallothionein,GTF2H1 gene|GTF2H1,Sentinel Lymph Node Biopsy,,,
,Therapeutic procedure,,,Biomarker Analysis,,Hodgkin Disease,tamoxifen,"Carcinoma, Lobular",,,,,,,,,trastuzumab,IMPACT gene,,Tamoxifen,,,,,"Receptor, Angiotensin, Type 1",ACSL4 gene|ACSL4,SPDEF,,,
,Ultrasonography,,,First line treatment,,follow-up,tamoxifen,member,,,,,,,,,Diagnosis,Increased risk,,Tamoxifen,,,,,Local excision,"FRAP1 protein, human|MTOR",gene polymorphism,,,
,Tamoxifen,,,TEKT4 gene|TEKT4,,Institutes,Androgen Receptor,Neoplasm,,,,,,,,,Carcinomatosis,caveolin 1,,Malignant neoplasm of breast,,,,,Vascular Endothelial Growth Factor D|VEGFA,everolimus,Sentinel Lymph Node Biopsy,,,
,Tamoxifen,,,Pharmacotherapy,,Medical Care Team,Tumor Suppressor Genes,"Receptors, Steroid",,,,,,,,,Pharmacotherapy,Secondary malignant neoplasm of female breast,,Tamoxifen,,,,,Vascular Endothelial Growth Factor D|VEGFA,everolimus,Lymph node excision,,,
,Therapeutic procedure,,,Pain management,,Digital mammography,tamoxifen,PGR gene|PGR,,,,,,,,,goserelin,Multiparametric Magnetic Resonance Imaging,,Biological Assay,,,,,Radiation therapy,Androgen Receptor,Disease,,,
,Mammography,,,Reconstructive Surgical Procedures,,Free prostate-specific antigen,fulvestrant,Estrogens,,,,,,,,,CD68,Dynamic Contrast-Enhanced Magnetic Resonance Imaging,,Clinical Research,,,,,N-Myc Downstream Regulated Protein 1|MYC,Diabetes,Operative Surgical Procedures,,,
,Mammography,,,Insulin Resistance,,Magnetic Resonance Imaging,everolimus,Family,,,,,,,,,talazoparib,Pathogenic Variant,,Tamoxifen,,,,,Patients,Ki67 Measurement,Neoplasm,,,
,Tamoxifen,,,"Radiotherapy, Intensity-Modulated",,Free prostate-specific antigen,Pharmacotherapy,TP53 gene|TP53,,,,,,,,,Activating ERBB2 Mutation,Pathogenic Variant,,research study,,,,,Western Blot,Carcinogens,CA-15-3 Antigen,,,
,Human,,,TEKT4 gene|TEKT4,,Patients,Pharmacotherapy,Family,,,,,,,,,CD163,Patients,,Tamoxifen,,,,,Cell Nucleus,Carcinogenesis,Glycoproteins,,,
,Selective Estrogen Receptor Modulators,,,wound care,,Mammography,SLC3A2 gene|SLC3A2,TP53 gene|TP53,,,,,,,,,erbB-2 Receptor|ERBB2,Mastectomy,,Fenretinide,,,,,Lymphatic Metastasis,Estrogen receptor positive,Axilla,,,
,Tamoxifen,,,IMPACT gene,,Ultrasonography,Pharmacotherapy,Disease,,,,,,,,,"T-Cell Surface Glycoprotein CD4, human|CD4",Detection,,Chemoprevention,,,,,KCNMA1,PLXNB3 gene|PLXNB3,Biopsy,,,
,Woman,,,Neoadjuvant Chemotherapy,,Augmentation mammoplasty,Phosphatidylinositide 3-Kinase Inhibitor,TP53 gene|TP53,,,,,,,,,FOXP3 gene|FOXP3,Hormone Therapy,,Tamoxifen,,,,,Ovary,"TNFRSF11A protein, human|TNFRSF11A",Hand,,,
,Tamoxifen,,,Pharmacotherapy,,Hormone replacement therapy,IMPACT gene,Somatic mutation,,,,,,,,,Breast Cancer Type 1 Susceptibility Protein Measurement,,,Estrogen Antagonists,,,,,RAB25,Estrogen receptor positive,Neoplasm,,,
,anastrozole,,,Pharmacotherapy,,Gadolinium DTPA,ESR1,Microsatellite Instability,,,,,,,,,erbB-2 Receptor|ERBB2,,,Clinical Research,,,,,RAB25,estrogen receptor-positive breast cancer,Neoplasm,,,
,Tamoxifen,,,Pharmacotherapy,,Malignant neoplasm of breast,Estrogen Receptor alpha,Xeromammography,,,,,,,,,Pharmacotherapy,,,"Clinical Trials, Phase II",,,,,Endometrium,FANCM gene|FANCM,Dissection,,,
,Therapeutic procedure,,,Anthracyclines,,Breast,exemestane,Mammography,,,,,,,,,paclitaxel,,,Raloxifene,,,,,VEGF gene|VEGFA,Biological Markers,Excision,,,
,Arimidex,,,Mastectomy,,electrical measurement,SLC7A8 gene|SLC7A8,Family member,,,,,,,,,chlorodihydroxypyridine/potassium oxonate/tegafur,,,Tamoxifen,,,,,cyclophosphamide/fluorouracil/methotrexate protocol,Matrix Metalloproteinases,Radiation therapy,,,
,Tamoxifen,,,Pharmacotherapy,,Diagnosis,Neoadjuvant Therapy,Peutz-Jeghers Syndrome,,,,,,,,,Pharmacotherapy,,,Clinical Research,,,,,Rho GDIalpha,Matrix Metalloproteinases,Dissection,,,
,Malignant Neoplasms,,,Pre-operative chemotherapy,,fluorophore,Polysaccharides,Patients,,,,,,,,,talazoparib,,,genetic aspects,,,,,Body tissue,AMACR wt Allele,Radiation therapy,,,
,Treatment Protocols,,,"Hyperthermia, Local",,Neoplasm,SLC7A8 gene|SLC7A8,Tamoxifen,,,,,,,,,Activating ERBB2 Mutation,,,Tamoxifen,,,,,"RNA, Messenger","Chemotherapy, Adjuvant",Dissection,,,
,Organ,,,Neoadjuvant Chemotherapy,,Screening procedure,estrogens,Liposarcoma recurrent,,,,,,,,,talazoparib,,,Daughter,,,,,Immunohistochemistry,PIMREG gene|PIMREG,Radiation therapy,,,
,Estrogen Receptors,,,Preoperative Chemotherapy,,Male population group,Antineoplastic Agents,Pituitary macroadenoma,,,,,,,,,Pharmacotherapy,,,Raloxifene,,,,,Immunohistochemistry,Noninfiltrating Intraductal Carcinoma,Excision,,,
