PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score
TREATS,Breast-Conserving Surgery,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmacotherapy,Sporadic Breast Carcinoma,0.0
TREATS,Combined Modality Therapy,Breast cancer metastatic,0.04195804195804196
TREATS,Treatment Protocols,Malignant neoplasm of breast,0.1928071928071928
TREATS,everolimus,Breast cancer metastatic,0.04195804195804196
TREATS,Cyclophosphamide,Breast cancer metastatic,0.04195804195804196
TREATS,Combined Modality Therapy,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,cell invasion,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Cell Proliferation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,mesylate,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Apoptosis,Malignant neoplasm of breast,0.1928071928071928
TREATS,Toremifene,Breast cancer metastatic,0.04195804195804196
TREATS,Operative Surgical Procedures,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,epithelial to mesenchymal transition,Malignant neoplasm of breast,0.1928071928071928
TREATS,Phytoestrogens,Malignant neoplasm of breast,0.1928071928071928
TREATS,Taxanes,Malignant neoplasm of breast,0.1928071928071928
TREATS,halichondrin B,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Down-Regulation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Screening mammography,Malignant neoplasm of breast,0.1928071928071928
TREATS,Toremifene,Malignant neoplasm of breast,0.1928071928071928
TREATS,Liposomal Doxorubicin,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Signal Transduction Pathways,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Transcriptional Regulation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radiation therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Endocrine therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Molecular Target,Malignant neoplasm of breast,0.1928071928071928
TREATS,soy protein isolate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radiation therapy,Breast cancer invasive NOS,0.00999000999000999
TREATS,pertuzumab,Breast cancer metastatic,0.04195804195804196
TREATS,Paclitaxel,Malignant neoplasm of breast,0.1928071928071928
TREATS,Cryosurgery,Malignant neoplasm of breast,0.1928071928071928
TREATS,taxane,Malignant neoplasm of breast,0.1928071928071928
TREATS,bortezomib,Malignant neoplasm of breast,0.1928071928071928
TREATS,Tamoxifen,Breast cancer recurrent,0.02197802197802198
TREATS,"Estrogens, Synthetic",Breast cancer metastatic,0.04195804195804196
TREATS,Anthracyclines,Breast cancer metastatic,0.04195804195804196
TREATS,Breast surgery,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Mitosis,Malignant neoplasm of breast,0.1928071928071928
TREATS,Hydroxychloroquine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmaceutical Preparations,Malignant neoplasm of breast,0.1928071928071928
TREATS,Estrogen Antagonists,Malignant neoplasm of breast,0.1928071928071928
TREATS,Placebos,Breast cancer metastatic,0.04195804195804196
TREATS,"Chemotherapy, Adjuvant",Malignant neoplasm of breast,0.1928071928071928
TREATS,educational intervention,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmacotherapy,Breast cancer metastatic,0.04195804195804196
TREATS,Agent,Malignant neoplasm of breast,0.1928071928071928
TREATS,Manual lymphatic drainage,Malignant neoplasm of breast,0.1928071928071928
TREATS,"EPIDERMAL GROWTH FACTOR, HUMAN",Malignant neoplasm of breast,0.1928071928071928
TREATS,Detection,Malignant neoplasm of breast,0.1928071928071928
TREATS,Drug Delivery Systems,Malignant neoplasm of breast,0.1928071928071928
TREATS,inhibitors,Breast cancer metastatic,0.04195804195804196
TREATS,Bilateral mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,resveratrol,Malignant neoplasm of breast,0.1928071928071928
TREATS,Modified radical mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Cancer Treatment,Malignant neoplasm of breast,0.1928071928071928
TREATS,Operative Surgical Procedures,Noninfiltrating Intraductal Carcinoma,0.012987012987012988
TREATS,Oleic Acid,Malignant neoplasm of breast,0.1928071928071928
TREATS,Chinese herbal medicine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Aromatase Inhibitors,Breast Carcinoma,0.03796203796203796
TREATS,Mastectomy,Noninfiltrating Intraductal Carcinoma,0.012987012987012988
TREATS,amrubicin,Breast cancer metastatic,0.04195804195804196
TREATS,Therapeutic procedure,Carcinoma of Male Breast,0.006993006993006993
PROCESS_OF,Cell Cycle Progression,Malignant neoplasm of breast,0.1928071928071928
TREATS,zoledronic acid,Breast cancer metastatic,0.04195804195804196
TREATS,deguelin,Malignant neoplasm of breast,0.1928071928071928
TREATS,inhibitors,Malignant neoplasm of breast,0.1928071928071928
TREATS,exemestane,Malignant neoplasm of breast,0.1928071928071928
TREATS,trastuzumab,Breast cancer metastatic,0.04195804195804196
TREATS,intervention program,Malignant neoplasm of breast,0.1928071928071928
TREATS,Neoadjuvant Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Endocrine therapy,Breast cancer metastatic,0.04195804195804196
TREATS,Pharmacologic Substance,Malignant neoplasm of breast,0.1928071928071928
TREATS,Xenograft procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,"Anti-Inflammatory Agents, Non-Steroidal",Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Growth pattern,Breast cancer invasive NOS,0.00999000999000999
TREATS,Breast-Conserving Surgery,"Carcinoma, Ductal, Breast",0.004995004995004995
TREATS,"2,5-dichloro-4-bromophenol",Malignant neoplasm of breast,0.1928071928071928
TREATS,zoledronic acid,Malignant neoplasm of breast,0.1928071928071928
TREATS,Ovarian Stimulation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Aromatase Inhibitors,Malignant neoplasm of breast,0.1928071928071928
TREATS,Gonadotropins,Malignant neoplasm of breast,0.1928071928071928
TREATS,Systemic Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Treatment Protocols,Breast cancer metastatic,0.04195804195804196
TREATS,antiangiogenesis therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Paclitaxel,Breast cancer metastatic,0.04195804195804196
TREATS,Thioridazine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Postoperative chemotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Goserelin Acetate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Amputation,Breast cancer recurrent,0.02197802197802198
TREATS,Therapeutic Intervention,Malignant neoplasm of breast,0.1928071928071928
TREATS,pemetrexed,Breast cancer recurrent,0.02197802197802198
TREATS,Breast Cancer Treatment,Malignant neoplasm of breast,0.1928071928071928
TREATS,capecitabine,Breast cancer metastatic,0.04195804195804196
TREATS,deracoxib,Breast Carcinoma,0.03796203796203796
TREATS,high-dose chemotherapy,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Signal Transduction,Malignant neoplasm of breast,0.1928071928071928
TREATS,Systemic Therapy,Breast cancer metastatic,0.04195804195804196
TREATS,Radiosurgery,Malignant neoplasm of breast,0.1928071928071928
TREATS,lapatinib,Malignant neoplasm of breast,0.1928071928071928
TREATS,Tamoxifen,Breast Carcinoma,0.03796203796203796
TREATS,Chemoprevention,Malignant neoplasm of breast,0.1928071928071928
TREATS,fluoropyrimidine,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Signal Pathways,Malignant neoplasm of breast,0.1928071928071928
TREATS,Vaccination,Breast cancer metastatic,0.04195804195804196
TREATS,Sirolimus (substance),Malignant neoplasm of breast,0.1928071928071928
TREATS,Supplementation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Simvastatin,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,Radiofrequency ablation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radiation therapy,Noninfiltrating Intraductal Carcinoma,0.012987012987012988
TREATS,peer intervention,Malignant neoplasm of breast,0.1928071928071928
TREATS,docetaxel,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Up-Regulation (Physiology),Malignant neoplasm of breast,0.1928071928071928
TREATS,Dissection,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmacotherapy,Breast cancer stage III,0.007992007992007992
TREATS,Anti-Progestin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Antineoplastic Agents,Breast cancer metastatic,0.04195804195804196
TREATS,Prolactin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Topoisomerase 1 inhibitor,Breast cancer metastatic,0.04195804195804196
TREATS,Chemopreventive Agent,Malignant neoplasm of breast,0.1928071928071928
TREATS,"7,3'-dihydroxy-4'-methoxyisoflavone",Malignant neoplasm of breast,0.1928071928071928
TREATS,letrozole,Malignant neoplasm of breast,0.1928071928071928
TREATS,mTOR Inhibitor,Malignant neoplasm of breast,0.1928071928071928
TREATS,Aromatase Inhibitors,Carcinoma of Male Breast,0.006993006993006993
TREATS,"Surgery, Day",Malignant neoplasm of breast,0.1928071928071928
TREATS,Mastectomy,"Carcinoma, Ductal, Breast",0.004995004995004995
TREATS,Pancreatic resection,Ductal Breast Carcinoma,0.000999000999000999
TREATS,inhibitors,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,piperine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Estradiol,Malignant neoplasm of breast,0.1928071928071928
TREATS,artemisinine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Diphosphonates,Malignant neoplasm of breast,0.1928071928071928
TREATS,Induced Hyperthermia,Malignant neoplasm of breast,0.1928071928071928
TREATS,Brachytherapy,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,cell motility,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Cell Death Inhibition,Malignant neoplasm of breast,0.1928071928071928
TREATS,Chemotherapy-Oncologic Procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Mammaplasty,Malignant neoplasm of breast,0.1928071928071928
TREATS,Anthracyclines,Breast cancer recurrent,0.02197802197802198
TREATS,Leuprolide,Malignant neoplasm of breast,0.1928071928071928
TREATS,Immunotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Antioxidants,Breast Carcinoma,0.03796203796203796
TREATS,bevacizumab,Breast cancer metastatic,0.04195804195804196
TREATS,Endostatins,Malignant neoplasm of breast,0.1928071928071928
TREATS,"Vaccines, DNA",Malignant neoplasm of breast,0.1928071928071928
TREATS,Agent,Breast cancer metastatic,0.04195804195804196
TREATS,intraoperative radiotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Chemotherapeutic agent,Malignant neoplasm of breast,0.1928071928071928
TREATS,Acupuncture procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Vinca Alkaloids,Malignant neoplasm of breast,0.1928071928071928
TREATS,anastrozole,Breast Carcinoma,0.03796203796203796
TREATS,Metformin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Segmental Mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,"Radiotherapy, Targeted",Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Down-Regulation,Breast Carcinoma,0.03796203796203796
TREATS,plasmepsin II,Malignant neoplasm of breast,0.1928071928071928
TREATS,Taxanes,Breast cancer metastatic,0.04195804195804196
TREATS,Oestrogen therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Therapeutic procedure,Breast Carcinoma,0.03796203796203796
TREATS,Adoptive Cell Transfer,Malignant neoplasm of breast,0.1928071928071928
TREATS,ixabepilone,Breast cancer metastatic,0.04195804195804196
TREATS,Lung excision,Breast cancer recurrent,0.02197802197802198
TREATS,Mastectomy,Breast cancer metastatic,0.04195804195804196
TREATS,Pre-operative chemotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Retinoids,Malignant neoplasm of breast,0.1928071928071928
TREATS,Mastectomy,bilateral breast cancer,0.000999000999000999
TREATS,Mastectomy,Breast cancer invasive NOS,0.00999000999000999
TREATS,artesunate,Malignant neoplasm of breast,0.1928071928071928
TREATS,capecitabine,Malignant neoplasm of breast,0.1928071928071928
TREATS,resistance education,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Cell Communication,Malignant neoplasm of breast,0.1928071928071928
TREATS,Cyclooxygenase 2 Inhibitors,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,cell motility,Breast Carcinoma,0.03796203796203796
TREATS,Prevention,Malignant neoplasm of breast,0.1928071928071928
TREATS,Paclitaxel,Carcinoma of Male Breast,0.006993006993006993
TREATS,everolimus,Malignant neoplasm of breast,0.1928071928071928
TREATS,Estrogens,Malignant neoplasm of breast,0.1928071928071928
METHOD_OF,Advice,breast cancer prevention,0.0
TREATS,small molecule,Malignant neoplasm of breast,0.1928071928071928
TREATS,Disulfiram,Malignant neoplasm of breast,0.1928071928071928
TREATS,estrone sulfate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Curcumin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Therapeutic procedure,Breast cancer recurrent,0.02197802197802198
TREATS,Vaccines,Malignant neoplasm of breast,0.1928071928071928
TREATS,pertuzumab,Malignant neoplasm of breast,0.1928071928071928
TREATS,"Acupuncture, Ear",Malignant neoplasm of breast,0.1928071928071928
TREATS,Axillary Lymph Node Dissection,Malignant neoplasm of breast,0.1928071928071928
TREATS,Lead compound,Malignant neoplasm of breast,0.1928071928071928
TREATS,hepatic arterial infusion,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Signal Transduction Pathways,"Carcinoma, Ductal, Breast",0.004995004995004995
PROCESS_OF,Autophagy,Breast Carcinoma,0.03796203796203796
METHOD_OF,Therapeutic procedure,breast cancer prevention,0.0
TREATS,Excision,Breast cancer metastatic,0.04195804195804196
TREATS,Advance,Malignant neoplasm of breast,0.1928071928071928
TREATS,gene therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Epirubicin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Operative Surgical Procedures,Breast cancer metastatic,0.04195804195804196
TREATS,tegafur-uracil,Breast Carcinoma,0.03796203796203796
TREATS,AR gene|AR,Malignant neoplasm of breast,0.1928071928071928
TREATS,Herceptin,Malignant neoplasm of breast,0.1928071928071928
TREATS,intraoperative radiotherapy,Noninfiltrating Intraductal Carcinoma,0.012987012987012988
TREATS,Injection procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Therapeutic agent (substance),Malignant neoplasm of breast,0.1928071928071928
TREATS,Berberine,Malignant neoplasm of breast,0.1928071928071928
TREATS,bevacizumab,Breast cancer recurrent,0.02197802197802198
PROCESS_OF,Apoptosis,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,"2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid",Malignant neoplasm of breast,0.1928071928071928
TREATS,Therapeutic procedure,Breast cancer invasive NOS,0.00999000999000999
PROCESS_OF,Cell-Mediated Cytolysis,Malignant neoplasm of breast,0.1928071928071928
TREATS,Combination Drug Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Dalteparin,Breast cancer metastatic,0.04195804195804196
TREATS,17-Ketosteroids,Malignant neoplasm of breast,0.1928071928071928
TREATS,Drainage procedure,Breast Carcinoma,0.03796203796203796
TREATS,Vaccination,Malignant neoplasm of breast,0.1928071928071928
TREATS,trichostatin A,Malignant neoplasm of breast,0.1928071928071928
TREATS,Systemic Therapy,Carcinoma of Male Breast,0.006993006993006993
TREATS,Antimetabolites,Breast cancer metastatic,0.04195804195804196
TREATS,Reconstructive Surgical Procedures,Malignant neoplasm of breast,0.1928071928071928
TREATS,Cytotoxic Chemotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Leukapheresis,Malignant neoplasm of breast,0.1928071928071928
TREATS,Tubulin Binding Agent,Breast cancer metastatic,0.04195804195804196
TREATS,Progestins,Malignant neoplasm of breast,0.1928071928071928
TREATS,Detection,Breast Carcinoma,0.03796203796203796
TREATS,Antineoplastic Agents,Malignant neoplasm of breast,0.1928071928071928
TREATS,Transsphenoidal hypophysectomy,Breast cancer metastatic,0.04195804195804196
TREATS,Hormone replacement therapy,Breast cancer metastatic,0.04195804195804196
TREATS,Operative Surgical Procedures,Breast Carcinoma,0.03796203796203796
TREATS,gemcitabine,Malignant neoplasm of breast,0.1928071928071928
TREATS,Induction,Malignant neoplasm of breast,0.1928071928071928
TREATS,Aromatase Inhibitors,Breast cancer recurrent,0.02197802197802198
TREATS,Fadrozole Monohydrochloride,Malignant neoplasm of breast,0.1928071928071928
TREATS,Interferon-beta,Malignant neoplasm of breast,0.1928071928071928
TREATS,Mitomycin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Epidermal Growth Factor Receptor|EGFR,Malignant neoplasm of breast,0.1928071928071928
TREATS,Bilateral adrenalectomy,Breast cancer metastatic,0.04195804195804196
TREATS,Pancreaticoduodenectomy,Ductal Breast Carcinoma,0.000999000999000999
TREATS,radiation immunosuppression,Breast Carcinoma,0.03796203796203796
TREATS,Autologous bone marrow transplant,Malignant neoplasm of breast,0.1928071928071928
TREATS,amidronate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Intra-Arterial Infusions,stage IIIB breast cancer,0.0
TREATS,Intramedullary Nailing,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radiation therapy,Breast Carcinoma,0.03796203796203796
TREATS,Leucovorin,Breast cancer metastatic,0.04195804195804196
TREATS,Pharmacotherapy,Breast Carcinoma,0.03796203796203796
TREATS,Hypophysectomy,Breast Carcinoma,0.03796203796203796
TREATS,intraoperative radiotherapy,Breast Carcinoma,0.03796203796203796
TREATS,Cyclophosphamide,Malignant neoplasm of breast,0.1928071928071928
TREATS,Antibodies,Breast cancer metastatic,0.04195804195804196
TREATS,radical mastectomy,Breast cancer stage III,0.007992007992007992
TREATS,chloroquine diphosphate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Amino Acids,Malignant neoplasm of breast,0.1928071928071928
TREATS,Extended radical mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Combined Modality Therapy,Breast cancer stage II,0.00999000999000999
TREATS,Pharmaceutical Preparations,Breast Carcinoma,0.03796203796203796
TREATS,Cytotoxic agent,Breast cancer metastatic,0.04195804195804196
TREATS,Oestrogen therapy,Breast cancer metastatic,0.04195804195804196
TREATS,Docosahexaenoic Acids,Malignant neoplasm of breast,0.1928071928071928
TREATS,Fenretinide,Malignant neoplasm of breast,0.1928071928071928
TREATS,Combination Chemotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Filgrastim,Malignant neoplasm of breast,0.1928071928071928
TREATS,Adriamycin,Breast cancer metastatic,0.04195804195804196
TREATS,vinorelbine,Breast cancer metastatic,0.04195804195804196
PROCESS_OF,Autophagy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Hypophysectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Ifosfamide,Malignant neoplasm of breast,0.1928071928071928
TREATS,Taxoids,Breast cancer metastatic,0.04195804195804196
TREATS,Salvage procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Treatment Protocols,Breast Carcinoma,0.03796203796203796
TREATS,Adrenalectomy,Breast cancer metastatic,0.04195804195804196
TREATS,"Laser Therapy, Low-Level",Malignant neoplasm of breast,0.1928071928071928
TREATS,Autologous bone marrow transplant,Breast cancer metastatic,0.04195804195804196
TREATS,Hypophysectomy,Breast cancer metastatic,0.04195804195804196
TREATS,Melphalan|PAM,Malignant neoplasm of breast,0.1928071928071928
TREATS,Etoposide,Breast cancer metastatic,0.04195804195804196
TREATS,mullerian-inhibiting hormone,Malignant neoplasm of breast,0.1928071928071928
TREATS,Doxorubicin,Breast cancer metastatic,0.04195804195804196
TREATS,Immunologic Adjuvants,Breast Carcinoma,0.03796203796203796
TREATS,Lymph node excision,Breast cancer invasive NOS,0.00999000999000999
TREATS,Premarin,Breast Carcinoma,0.03796203796203796
TREATS,high-dose chemotherapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Proton therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Fluorouracil,Malignant neoplasm of breast,0.1928071928071928
TREATS,Prophylactic treatment,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radicals (chemistry),Breast cancer recurrent,0.02197802197802198
TREATS,G207,Malignant neoplasm of breast,0.1928071928071928
TREATS,Combination Chemotherapy,Breast Carcinoma,0.03796203796203796
TREATS,Chemotherapeutic agent,Breast cancer metastatic,0.04195804195804196
TREATS,Local Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Immunologic Adjuvants,Breast cancer stage II,0.00999000999000999
TREATS,Estrogen Progestin Replacement Therapy,Breast Carcinoma,0.03796203796203796
TREATS,Trifluoperazine,Breast cancer metastatic,0.04195804195804196
TREATS,Pharmacotherapy,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,Thyrotropin-Releasing Hormone,Malignant neoplasm of breast,0.1928071928071928
TREATS,Epirubicin,Breast cancer stage II,0.00999000999000999
TREATS,Combination Chemotherapy,Breast cancer metastatic,0.04195804195804196
TREATS,Excision,Breast Carcinoma,0.03796203796203796
TREATS,Levamisole,Malignant neoplasm of breast,0.1928071928071928
TREATS,Estrogen Replacement Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,adjuvant therapy,Breast Carcinoma,0.03796203796203796
TREATS,Hormones,Malignant neoplasm of breast,0.1928071928071928
TREATS,Masteril,Breast Carcinoma,0.03796203796203796
TREATS,Mitomycin,Breast cancer metastatic,0.04195804195804196
TREATS,Masteril,Malignant neoplasm of breast,0.1928071928071928
TREATS,Fluorouracil,Breast cancer metastatic,0.04195804195804196
TREATS,dietary intervention,Malignant neoplasm of breast,0.1928071928071928
TREATS,X-Ray Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,edatrexate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Excision,Ductal Breast Carcinoma,0.000999000999000999
TREATS,rhizoxin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Epirubicin,Breast cancer metastatic,0.04195804195804196
TREATS,Therapeutic Corynebacterium Parvum,Malignant neoplasm of breast,0.1928071928071928
TREATS,high-dose chemotherapy,Inflammatory Breast Carcinoma,0.01098901098901099
TREATS,Taxol,Breast cancer metastatic,0.04195804195804196
TREATS,radical mastectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Maxillary left canine abutment,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Anergy,Malignant neoplasm of breast,0.1928071928071928
PROCESS_OF,Cell division,Breast Carcinoma,0.03796203796203796
TREATS,Progestins,Breast Carcinoma,0.03796203796203796
TREATS,Prolactin,Breast Carcinoma,0.03796203796203796
TREATS,Manipulation procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Raloxifene,Malignant neoplasm of breast,0.1928071928071928
TREATS,Radical mastoidectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Clodronate,Malignant neoplasm of breast,0.1928071928071928
TREATS,cyclophosphamide/fluorouracil/methotrexate protocol,Malignant neoplasm of breast,0.1928071928071928
TREATS,Fusion procedure,Breast Carcinoma,0.03796203796203796
PROCESS_OF,Lymphocyte Activation,Malignant neoplasm of breast,0.1928071928071928
TREATS,"Chemotherapy, Adjuvant",Breast cancer stage II,0.00999000999000999
TREATS,Quadrantectomy,Malignant neoplasm of breast,0.1928071928071928
TREATS,epigallocatechin gallate,Malignant neoplasm of breast,0.1928071928071928
TREATS,Succinates,Malignant neoplasm of breast,0.1928071928071928
TREATS,Anesthesia procedures,Malignant neoplasm of breast,0.1928071928071928
TREATS,Skin Transplantation,Breast Carcinoma,0.03796203796203796
TREATS,Radiopharmaceuticals,Malignant neoplasm of breast,0.1928071928071928
TREATS,CB-154,Breast Carcinoma,0.03796203796203796
TREATS,Ifosfamide,Breast cancer metastatic,0.04195804195804196
TREATS,antitumor agent,Malignant neoplasm of breast,0.1928071928071928
TREATS,Diethylstilbestrol,Breast cancer metastatic,0.04195804195804196
TREATS,Cytotoxic Chemotherapy,Breast cancer metastatic,0.04195804195804196
TREATS,Folic Acid,Malignant neoplasm of breast,0.1928071928071928
TREATS,Lymph node excision,Breast Carcinoma,0.03796203796203796
TREATS,METHYLATE,Malignant neoplasm of breast,0.1928071928071928
TREATS,Nolvadex,Breast cancer metastatic,0.04195804195804196
TREATS,radical mastectomy,Breast Carcinoma,0.03796203796203796
TREATS,Prodrugs,Malignant neoplasm of breast,0.1928071928071928
TREATS,Argipressin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Cisplatin,Malignant neoplasm of breast,0.1928071928071928
TREATS,Autologous Stem Cell Transplantation,Malignant neoplasm of breast,0.1928071928071928
TREATS,Placebos,Malignant neoplasm of breast,0.1928071928071928
TREATS,Lymph node excision,Carcinoma in situ of breast,0.0
TREATS,Dissection,Breast cancer invasive NOS,0.00999000999000999
TREATS,BLUE DYE,Malignant neoplasm of breast,0.1928071928071928
TREATS,Gonadotropin-Releasing Hormone Analog,Malignant neoplasm of breast,0.1928071928071928
TREATS,Treatment Protocols,Breast cancer recurrent,0.02197802197802198
TREATS,Endocrine therapy,Breast Carcinoma,0.03796203796203796
PROCESS_OF,Cell Survival,Breast Carcinoma,0.03796203796203796
TREATS,Autologous Stem Cell Transplantation,Breast Carcinoma,0.03796203796203796
TREATS,Guide device,Breast cancer metastatic,0.04195804195804196
TREATS,Cell Therapy,Malignant neoplasm of breast,0.1928071928071928
TREATS,Implantation procedure,Malignant neoplasm of breast,0.1928071928071928
TREATS,Pharmacotherapy,"Carcinoma, Ductal, Breast",0.004995004995004995
