PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type,Category,text
PREVENTS,Prophylactic treatment,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Prophylactic treatment Malignant neoplasm of breast
PREVENTS,Breast neoplasm screening,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Screening and Monitoring,Breast neoplasm screening Malignant neoplasm of breast
PREVENTS,Mastectomy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Mastectomy Malignant neoplasm of breast
PREVENTS,Therapeutic procedure,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medical Procedures,Therapeutic procedure Breast Carcinoma
PREVENTS,Estrogen Receptors,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogen Receptors Malignant neoplasm of breast
PREVENTS,Selective Estrogen Receptor Modulators,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Hormonal Treatments,Selective Estrogen Receptor Modulators Breast Carcinoma
PREVENTS,Tamoxifen,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Hormonal Treatments,Tamoxifen Contralateral breast cancer
PREVENTS,Tamoxifen,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Hormonal Treatments,Tamoxifen Breast cancer invasive NOS
PREVENTS,Vitamin E,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamin E Malignant neoplasm of breast
PREVENTS,Selective Estrogen Receptor Modulators,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Hormonal Treatments,Selective Estrogen Receptor Modulators Contralateral breast cancer
PREVENTS,Endocrine therapy,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Endocrine therapy Breast cancer recurrent
PREVENTS,"Fatty Acids, Omega-3",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,"Fatty Acids, Omega-3 Malignant neoplasm of breast"
PREVENTS,Screening mammography,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Screening and Monitoring,Screening mammography Malignant neoplasm of breast
PREVENTS,Operative Surgical Procedures,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Operative Surgical Procedures Malignant neoplasm of breast
PREVENTS,Phytoestrogens,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Phytoestrogens Malignant neoplasm of breast
PREVENTS,Tamoxifen,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Hormonal Treatments,Tamoxifen Breast cancer recurrent
PREVENTS,Tamoxifen,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Hormonal Treatments,Tamoxifen Noninfiltrating Intraductal Carcinoma
PREVENTS,Metformin,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Metformin Malignant neoplasm of breast
PREVENTS,Estrogens,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogens Malignant neoplasm of breast
METHOD_OF,Dietary Modification,breast cancer prevention,0.0269730269730269,Other,Lifestyle Factors,Dietary Modification breast cancer prevention
PREVENTS,Estrogen Receptor Modulators,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogen Receptor Modulators Malignant neoplasm of breast
PREVENTS,Estrogen Receptor beta,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogen Receptor beta Malignant neoplasm of breast
PREVENTS,Hormone replacement therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Hormone replacement therapy Malignant neoplasm of breast
PREVENTS,Radiation therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Radiation therapy Malignant neoplasm of breast
PREVENTS,Bariatric Surgery,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Bariatric Surgery Malignant neoplasm of breast
PREVENTS,Pharmacotherapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Pharmacotherapy Malignant neoplasm of breast
PREVENTS,Chemoprevention,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Chemoprevention Malignant neoplasm of breast
PREVENTS,Endocrine therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Endocrine therapy Malignant neoplasm of breast
PREVENTS,Therapeutic procedure,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Therapeutic procedure Breast cancer recurrent
PREVENTS,Cancer Vaccines,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Vaccines,Cancer Vaccines Breast Carcinoma
PREVENTS,Aspirin,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Aspirin Malignant neoplasm of breast
PREVENTS,Vitamins,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamins Malignant neoplasm of breast
METHOD_OF,"Diet, Fat-Restricted",breast cancer prevention,0.0269730269730269,Other,Lifestyle Factors,"Diet, Fat-Restricted breast cancer prevention"
PREVENTS,Pharmacotherapy,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Medical Procedures,Pharmacotherapy Breast cancer metastatic
PREVENTS,Iron,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Iron Malignant neoplasm of breast
PREVENTS,Reconstructive Surgical Procedures,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medical Procedures,Reconstructive Surgical Procedures Breast Carcinoma
PREVENTS,Vitamin B 12,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamin B 12 Malignant neoplasm of breast
PREVENTS,"Diet, Mediterranean",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,"Diet, Mediterranean Malignant neoplasm of breast"
PREVENTS,Therapeutic procedure,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Medical Procedures,Therapeutic procedure Breast cancer invasive NOS
PREVENTS,Screening mammography,Breast cancer stage II,0.0,Female Breast Cancer,Screening and Monitoring,Screening mammography Breast cancer stage II
PREVENTS,Pharmaceutical Preparations,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Medications,Pharmaceutical Preparations Breast cancer invasive NOS
PREVENTS,dietary intervention,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,dietary intervention Malignant neoplasm of breast
PREVENTS,mullerian-inhibiting hormone,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,mullerian-inhibiting hormone Malignant neoplasm of breast
PREVENTS,Vitamin D,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Supplements,Vitamin D Breast cancer recurrent
PREVENTS,adjuvant therapy,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,adjuvant therapy Breast cancer recurrent
PREVENTS,dihydroxy-vitamin D3,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,dihydroxy-vitamin D3 Malignant neoplasm of breast
PREVENTS,Pharmacotherapy,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Medical Procedures,Pharmacotherapy Contralateral breast cancer
PREVENTS,"Chemotherapy, Adjuvant",Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medications,"Chemotherapy, Adjuvant Breast cancer recurrent"
PREVENTS,ESTROGENIC SUBSTANCES,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,ESTROGENIC SUBSTANCES Malignant neoplasm of breast
PREVENTS,Calcium,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Calcium Malignant neoplasm of breast
PREVENTS,Implantation procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Implantation procedure Malignant neoplasm of breast
USES,Treatment Protocols,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,Treatment Protocols breast cancer prevention
PREVENTS,Supplementation,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Supplements,Supplementation Breast cancer metastatic
PREVENTS,Vitamin supplementation,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamin supplementation Malignant neoplasm of breast
PREVENTS,Estrogen Receptor alpha,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Hormonal Treatments,Estrogen Receptor alpha Breast Carcinoma
PREVENTS,tamoxifen,Invasive carcinoma of breast,0.0,Female Breast Cancer,Hormonal Treatments,tamoxifen Invasive carcinoma of breast
PREVENTS,"Radiotherapy, Adjuvant",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,"Radiotherapy, Adjuvant Malignant neoplasm of breast"
PREVENTS,progesterone,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,progesterone Malignant neoplasm of breast
PREVENTS,Behavior Therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Behavior Therapy Malignant neoplasm of breast
PREVENTS,Interventional procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Interventional procedure Malignant neoplasm of breast
PREVENTS,Phytochemicals,"Breast Cancer, Familial",0.0019980019980019,Female Breast Cancer,Environmental Factors,"Phytochemicals Breast Cancer, Familial"
PREVENTS,Nuclear Hormone Receptors,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Nuclear Hormone Receptors Malignant neoplasm of breast
PREVENTS,tamoxifen,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Hormonal Treatments,tamoxifen Noninfiltrating Intraductal Carcinoma
PREVENTS,Screening for malignant neoplasm of breast,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Screening and Monitoring,Screening for malignant neoplasm of breast Malignant neoplasm of breast
PREVENTS,Hormone Therapy,contralateral breast cancer,0.0009990009990009,Female Breast Cancer,Medical Procedures,Hormone Therapy contralateral breast cancer
PREVENTS,dietary intervention,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Lifestyle Factors,dietary intervention Breast cancer recurrent
METHOD_OF,Pharmacotherapy,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,Pharmacotherapy breast cancer prevention
PREVENTS,Hormone Receptor,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Hormone Receptor Malignant neoplasm of breast
PREVENTS,Selective Estrogen Receptor Modulators,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Hormonal Treatments,Selective Estrogen Receptor Modulators Breast cancer invasive NOS
PREVENTS,Cancer Treatment,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Cancer Treatment Breast cancer recurrent
PREVENTS,High residue diet,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,High residue diet Malignant neoplasm of breast
PREVENTS,Progesterone,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Progesterone Malignant neoplasm of breast
PREVENTS,Antioestrogen therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Antioestrogen therapy Malignant neoplasm of breast
PREVENTS,Medroxyprogesterone 17-Acetate,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Medroxyprogesterone 17-Acetate Malignant neoplasm of breast
PREVENTS,Androgens,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Androgens Malignant neoplasm of breast
PREVENTS,Dietary Modification,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,Dietary Modification Malignant neoplasm of breast
PREVENTS,Therapeutic procedure,Familial cancer of breast,0.0,Female Breast Cancer,Medical Procedures,Therapeutic procedure Familial cancer of breast
PREVENTS,Chemopreventive Agent,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Chemopreventive Agent Malignant neoplasm of breast
PREVENTS,Hormones,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Hormones Malignant neoplasm of breast
PREVENTS,Treatment Protocols,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Medical Procedures,Treatment Protocols Contralateral breast cancer
PREVENTS,Steroid hormone,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Steroid hormone Malignant neoplasm of breast
PREVENTS,BRCA1 gene|BRCA1,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Genetic Factors,BRCA1 gene|BRCA1 Malignant neoplasm of breast
PREVENTS,Progestogen hormone therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Progestogen hormone therapy Malignant neoplasm of breast
PREVENTS,Vaccination,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Vaccines,Vaccination Malignant neoplasm of breast
METHOD_OF,Treatment Protocols,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,Treatment Protocols breast cancer prevention
PREVENTS,Pharmaceutical Preparations,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medications,Pharmaceutical Preparations Breast cancer recurrent
PREVENTS,Operative Surgical Procedures,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Operative Surgical Procedures Breast cancer recurrent
PREVENTS,Chemoprevention,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Medications,Chemoprevention Breast cancer invasive NOS
PREVENTS,Vaccines,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Vaccines,Vaccines Breast Carcinoma
METHOD_OF,Tamoxifen,breast cancer prevention,0.0269730269730269,Other,Hormonal Treatments,Tamoxifen breast cancer prevention
PREVENTS,Caloric Restriction,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Dietary Interventions,Caloric Restriction Malignant neoplasm of breast
PREVENTS,"Vaccines, Peptide",Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Vaccines,"Vaccines, Peptide Breast cancer recurrent"
METHOD_OF,adjuvant therapy,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,adjuvant therapy breast cancer prevention
PREVENTS,Pharmacotherapy,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medical Procedures,Pharmacotherapy Breast Carcinoma
PREVENTS,Breast surgery,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Breast surgery Malignant neoplasm of breast
PREVENTS,Tamoxifen Citrate,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Tamoxifen Citrate Malignant neoplasm of breast
PREVENTS,Therapeutic procedure,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Medical Procedures,Therapeutic procedure Breast cancer metastatic
PREVENTS,Breast-Conserving Surgery,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Breast-Conserving Surgery Breast cancer recurrent
PREVENTS,Radiation therapy,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Radiation therapy Breast cancer recurrent
PREVENTS,tamoxifen,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,tamoxifen Malignant neoplasm of breast
PREVENTS,fluvastatin,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,fluvastatin Malignant neoplasm of breast
PREVENTS,omega-3 fatty acids,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,omega-3 fatty acids Malignant neoplasm of breast
PREVENTS,Pharmacotherapy,Triple Negative Breast Neoplasms,0.0339660339660339,Female Breast Cancer,Medical Procedures,Pharmacotherapy Triple Negative Breast Neoplasms
PREVENTS,Breast Therapy,contralateral breast cancer,0.0009990009990009,Female Breast Cancer,Medical Procedures,Breast Therapy contralateral breast cancer
PREVENTS,Hormone Therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Hormone Therapy Malignant neoplasm of breast
PREVENTS,estrogens,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,estrogens Malignant neoplasm of breast
PREVENTS,BRCA1 gene|BRCA1,"Breast Cancer, Familial",0.0019980019980019,Female Breast Cancer,Genetic Factors,"BRCA1 gene|BRCA1 Breast Cancer, Familial"
PREVENTS,Antiretroviral therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Antiretroviral therapy Malignant neoplasm of breast
PREVENTS,vitamin E,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,vitamin E Malignant neoplasm of breast
PREVENTS,Radiation diet,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,Radiation diet Malignant neoplasm of breast
PREVENTS,"Mastectomy, Subcutaneous",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,"Mastectomy, Subcutaneous Malignant neoplasm of breast"
PREVENTS,Bariatric Surgery,Triple Negative Breast Neoplasms,0.0339660339660339,Female Breast Cancer,Medical Procedures,Bariatric Surgery Triple Negative Breast Neoplasms
PREVENTS,Hormone Therapy,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Medical Procedures,Hormone Therapy Noninfiltrating Intraductal Carcinoma
PREVENTS,Cancer Vaccines,Triple Negative Breast Neoplasms,0.0339660339660339,Female Breast Cancer,Vaccines,Cancer Vaccines Triple Negative Breast Neoplasms
PREVENTS,calcium,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,calcium Malignant neoplasm of breast
PREVENTS,Tamoxifen,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Hormonal Treatments,Tamoxifen Breast Carcinoma
PREVENTS,Therapeutic procedure,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Medical Procedures,Therapeutic procedure Contralateral breast cancer
PREVENTS,adjuvant therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,adjuvant therapy Malignant neoplasm of breast
PREVENTS,Vaccines,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Vaccines,Vaccines Breast cancer recurrent
PREVENTS,Pharmaceutical Preparations,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medications,Pharmaceutical Preparations Breast Carcinoma
METHOD_OF,Chemoprevention,breast cancer prevention,0.0269730269730269,Other,Medications,Chemoprevention breast cancer prevention
PREVENTS,anhydrovitamin A,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,anhydrovitamin A Malignant neoplasm of breast
PREVENTS,Vitamin A,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Vitamin A Malignant neoplasm of breast
PREVENTS,Vaccination,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Vaccines,Vaccination Breast Carcinoma
PREVENTS,Adenovirus Vaccine,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Vaccines,Adenovirus Vaccine Breast Carcinoma
PREVENTS,Injection procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Injection procedure Malignant neoplasm of breast
PREVENTS,pregnancy hormones,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,pregnancy hormones Malignant neoplasm of breast
PREVENTS,Environmental Pollutants,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Environmental Pollutants Malignant neoplasm of breast
METHOD_OF,Procedures,breast cancer prevention,0.0269730269730269,Other,Medical Procedures,Procedures breast cancer prevention
PREVENTS,"Vaccines, DNA",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Vaccines,"Vaccines, DNA Malignant neoplasm of breast"
PREVENTS,Chemoprevention,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medications,Chemoprevention Breast Carcinoma
PREVENTS,Exploration procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Exploration procedure Malignant neoplasm of breast
PREVENTS,Supplementation,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Supplements,Supplementation Malignant neoplasm of breast
PREVENTS,Chemotherapy-Oncologic Procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,Chemotherapy-Oncologic Procedure Malignant neoplasm of breast
PREVENTS,Immunotherapy,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Medical Procedures,Immunotherapy Breast cancer metastatic
PREVENTS,Systemic Therapy,Inflammatory Breast Carcinoma,0.0019980019980019,Female Breast Cancer,Medical Procedures,Systemic Therapy Inflammatory Breast Carcinoma
PREVENTS,Non-Aspirin,Contralateral breast cancer,0.0119880119880119,Female Breast Cancer,Medications,Non-Aspirin Contralateral breast cancer
PREVENTS,bone morphogenetic protein 6,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Genetic Factors,bone morphogenetic protein 6 Breast cancer metastatic
PREVENTS,Combined Modality Therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Combined Modality Therapy Malignant neoplasm of breast
PREVENTS,Vegetarian diet,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Lifestyle Factors,Vegetarian diet Malignant neoplasm of breast
PREVENTS,Estrogens,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Hormonal Treatments,Estrogens Breast cancer recurrent
PREVENTS,Radiation therapy,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Medical Procedures,Radiation therapy Noninfiltrating Intraductal Carcinoma
PREVENTS,Hormone Therapy,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medical Procedures,Hormone Therapy Breast Carcinoma
PREVENTS,aspirin,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medications,aspirin Malignant neoplasm of breast
PREVENTS,Breast Cancer Therapeutic Procedure,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Breast Cancer Therapeutic Procedure Malignant neoplasm of breast
PREVENTS,Combined Modality Therapy,Breast Carcinoma,0.0289710289710289,Female Breast Cancer,Medical Procedures,Combined Modality Therapy Breast Carcinoma
PREVENTS,"Vaccines, Conjugate",Secondary malignant neoplasm of breast,0.0,Female Breast Cancer,Vaccines,"Vaccines, Conjugate Secondary malignant neoplasm of breast"
PREVENTS,fiber,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Dietary Interventions,fiber Malignant neoplasm of breast
PREVENTS,Cryotherapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Cryotherapy Malignant neoplasm of breast
PREVENTS,Pharmaceutical Preparations,Breast cancer metastatic,0.0369630369630369,Female Breast Cancer,Medications,Pharmaceutical Preparations Breast cancer metastatic
PREVENTS,Oestrogen therapy,Breast cancer recurrent,0.0429570429570429,Recurrent Breast Cancer,Medical Procedures,Oestrogen therapy Breast cancer recurrent
PREVENTS,Pharmacotherapy,Breast cancer invasive NOS,0.0129870129870129,Female Breast Cancer,Medical Procedures,Pharmacotherapy Breast cancer invasive NOS
PREVENTS,releasing hormones,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,releasing hormones Malignant neoplasm of breast
PREVENTS,Estrogen-progestin preparation,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Estrogen-progestin preparation Malignant neoplasm of breast
PREVENTS,Immunization,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Vaccines,Immunization Malignant neoplasm of breast
PREVENTS,Oestrogen therapy,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Oestrogen therapy Malignant neoplasm of breast
PREVENTS,Estrogen Receptor alpha,Noninfiltrating Intraductal Carcinoma,0.0019980019980019,Female Breast Cancer,Hormonal Treatments,Estrogen Receptor alpha Noninfiltrating Intraductal Carcinoma
PREVENTS,Hormone manipulation,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,Hormone manipulation Malignant neoplasm of breast
PREVENTS,Reconstructive Surgical Procedures,Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Medical Procedures,Reconstructive Surgical Procedures Malignant neoplasm of breast
PREVENTS,"Estrogens, Non-Steroidal",Malignant neoplasm of breast,0.2977022977022977,Female Breast Cancer,Hormonal Treatments,"Estrogens, Non-Steroidal Malignant neoplasm of breast"
