PREDICATE,SUBJECT_NAME,OBJECT_NAME,Factuality_Score,Cancer_Type
DIAGNOSES,Immunohistochemistry,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Medical pathologist,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,single cell analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,radiologist,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,Treatment Protocols,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Sentinel Lymph Node Biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Nurses,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,fluorodeoxyglucose positron emission tomography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Platelet Count measurement,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Physicians,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Mucin-1 Staining Method,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,diagnostic procedure,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Fluorescence Spectroscopy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Radioisotope scan of lymphatic system,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Genetic screening method,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Research Personnel,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Liver Function Tests,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Core needle biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cell marker,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Medical Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunohistochemistry,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Transbronchial lung biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,IMMUNOHISTOCHEMICAL,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Total protein measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,diagnostic procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Autoantibody response,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Polymerase Chain Reaction,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Image analysis,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Liquid Chromatography Mass Spectrometry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Assay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Densitometry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Radiometry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Activated clotting time measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,thermography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Sample analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Flow Cytometry,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,In Situ Hybridization,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Needle biopsy procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Surgeon,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Assay,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Lymphocyte Count,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Radionuclide Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Ultrasonography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Molecular Diagnosis,Familial cancer of breast,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Plasma prolactin,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,rapid technique,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Mass Screening,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,disease stage,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Research Personnel,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,In Situ Hybridization,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Anti-thyroid antibody measurement,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,In Situ Hybridization,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Diagnostic Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Author,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,"Glucose-6-phosphate dehydrogenase measurement, quantitative",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Mammography,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Drill biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunofluorescence,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Soft Agar Assay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Morphometric analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Assay,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Morphometric analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Histocytochemistry,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Immunoblotting,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunocytochemistry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Radionuclide Imaging,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Flow Cytometry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Enzyme Immunoassay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cytology examination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Antibody to islet cells of pancreas measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Diaphanography,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Plasma oestradiol,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Estradiol measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,IMMUNOHISTOCHEMICAL,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Diagnostic Neoplasm Staging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Self-Examination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Galactography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,Clinical Research,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Spectrum Analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Palpation,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Enzyme Immunoassay,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Biopsy,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,IMMUNOHISTOCHEMICAL,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Morphometric analysis,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
MEASURES,Analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Lymphography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Chromatography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Imaging,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Radioimmunoassay,Female Breast Carcinoma,0.0069930069930069,Female Breast Cancer
DIAGNOSES,Cell Culture Techniques,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Microscopy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Adsorption,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Histocytochemistry,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Breast Self-Examination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Sensitivity test,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Radioisotope scan of lymphatic system,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Image analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Excision biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunoperoxidase Techniques,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Preservation, Biological",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Lipids measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Protein profiling,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Diagnostic radiologist,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Examination of breast,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Surgical biopsy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,CALCULATION,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,thermography,Female Breast Carcinoma,0.0069930069930069,Female Breast Cancer
DIAGNOSES,mutation analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Flow Cytometry,Breast cancer stage II,0.0,Female Breast Cancer
DIAGNOSES,Mammography,bilateral breast cancer,0.0019980019980019,Female Breast Cancer
DIAGNOSES,Xeromammography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,DNA analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
MEASURES,Clinical Research,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Cytometry,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Antigen assay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Ultrasonography,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Excision biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Differential Diagnosis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
MEASURES,"Spectroscopy, Nuclear Magnetic Resonance",Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Diagnostic radiologic examination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,fluorodeoxyglucose positron emission tomography,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Immunoradiometric Assays,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cytodiagnosis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Genetic Screening,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunohistochemistry,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Transillumination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Mammography,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
MEASURES,Case-Control Studies,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,mutation analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Doppler Ultrasound,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Image analysis,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Clinical Trials Data Monitoring Committees,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Polymerase Chain Reaction,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Breast thermography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cytogenetic procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,friend,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,HIGH SENSITIVITY,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Family,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Ultrasonography,Ductal Breast Carcinoma,0.0049950049950049,Female Breast Cancer
DIAGNOSES,Core needle biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Fluorescent in Situ Hybridization,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Endosonography,Ductal Breast Carcinoma,0.0049950049950049,Female Breast Cancer
DIAGNOSES,"Blotting, Western",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,HIGH SENSITIVITY,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
MEASURES,Enzyme-Linked Immunosorbent Assay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Imaging,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Breast Self-Examination,Familial cancer of breast,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Technologist NOS,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Clinicians,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Pre-surgery evaluation,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Microscopy, Immunoelectron",Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
MEASURES,Magnetic Resonance Imaging,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Chromosome Mapping,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Scanning,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
MEASURES,Chromogenic in situ Hybridization,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Sentinel Lymph Node Biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
MEASURES,logistic regression analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Excision biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Osteopontin Staining Method,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Research Personnel,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Biopsy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Electrophoresis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Toxicology screen, general",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Digital mammography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Genetic screening method,bilateral breast cancer,0.0019980019980019,Female Breast Cancer
DIAGNOSES,Neutralising antibodies,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Assay,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Biopsy,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,"Spectrometry, Mass, Electrospray Ionization",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cancer Diagnosis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,"Blotting, Western",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,Validation,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Health Personnel,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Microscopy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Immunocytochemistry,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,chromatin immunoprecipitation,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Immunohistochemistry,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Genotype determination,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Excision biopsy,Ductal Breast Carcinoma,0.0049950049950049,Female Breast Cancer
DIAGNOSES,DNA analysis,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Biopsy,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Gene Expression Profiling,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Tomography, Emission-Computed",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Spectrum Analysis, Mass",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Dot Immunoblotting,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Medical oncologist,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Dilution,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Weighing patient,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Medical pathologist,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,"Microscopy, Electron, Scanning",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Computed Tomographic Colonography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
MEASURES,Liquid Chromatography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Metabolic analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,breast cancer diagnosis,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Prostate specific antigen measurement,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Diffusion Magnetic Resonance Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Health Personnel,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Blood cadmium measurement,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Author,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,High Throughput Screening,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Ultrasonography,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,DNA analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Differential white blood cell count procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Sequence Analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,"Tomography, Optical",Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Core needle biopsy,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Western Blot,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Reader,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Activated clotting time measurement,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Imaging,Carcinoma of Male Breast,0.0059940059940059,Male Breast Cancer
DIAGNOSES,athlete,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Actor,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Spectroscopy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,2D Polyacrylamide Gel Electrophoresis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Western Blot,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
MEASURES,simulation,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cell hybridization,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,tomography,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Western Blot,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,Immunoassay,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Magnetic Resonance Imaging,Contralateral breast cancer,0.0049950049950049,Female Breast Cancer
DIAGNOSES,Incisional biopsy - action,"Carcinoma, Ductal, Breast",0.0139860139860139,Female Breast Cancer
DIAGNOSES,Core needle biopsy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Histology Procedure,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Sentinel Lymph Node Mapping,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Mucin-1 Staining Method,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Ultrasonography,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Fluorescent in Situ Hybridization,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
DIAGNOSES,Sentinel Lymph Node Mapping,Breast cancer invasive NOS,0.0269730269730269,Female Breast Cancer
DIAGNOSES,diagnostic procedure,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,fluorodeoxyglucose positron emission tomography,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,Functional assessment,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Mammography,Breast cancer recurrent,0.0069930069930069,Recurrent Breast Cancer
DIAGNOSES,endoscopy,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Cytokeratin-14 Staining Method,Noninfiltrating Intraductal Carcinoma,0.0389610389610389,Female Breast Cancer
MEASURES,Magnetic Resonance Imaging,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Polymerase Chain Reaction,Inflammatory Breast Carcinoma,0.0059940059940059,Female Breast Cancer
DIAGNOSES,Fine needle aspiration biopsy,Breast cancer metastatic,0.0139860139860139,Female Breast Cancer
DIAGNOSES,Sentinel Lymph Node Biopsy,Breast Carcinoma,0.0509490509490509,Female Breast Cancer
DIAGNOSES,Polymerase chain reaction analysis,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
DIAGNOSES,Reporter,Malignant neoplasm of breast,0.2177822177822178,Female Breast Cancer
