PREDICATION_ID,SENTENCE_ID,PMID,PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,SUBJECT_NOVELTY,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,OBJECT_NOVELTY,unk1,unk2,unk3
82145152,39056249,9045312,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
82145760,39057194,9045313,PREDISPOSES,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
82655519,39933742,9608183,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
82718231,39997386,1173664,TREATS,C0024884,radical mastectomy,topp,1,C1277190,Suspected breast cancer,fndg,1,\N,\N,\N
82935081,73600260,8923019,PREVENTS,C0060197,Fenretinide,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
82951991,6649835,27904775,COEXISTS_WITH,C0012634,Disease,dsyn,0,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
82952697,6650977,27904775,COEXISTS_WITH,C0027651,Neoplasm,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
83086257,40666102,73084,AFFECTS,C0009008,Clomiphene,orch,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
83507194,41426149,9206051,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
83636423,41553285,909355,LOCATION_OF,C0020005,"Hospitals, County",hcro,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
83844710,41993081,27768681,METHOD_OF,C0024671,Mammography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
83917049,42065852,968380,NEG_CAUSES,C0027627,Neoplasm Metastasis,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
84164440,42533340,8619644,USES,C0008972,Clinical Research,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
84771026,43558224,9179209,METHOD_OF,C0005558,Biopsy,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
85164079,44233446,9021117,DIAGNOSES,C0040395,tomography,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
85168452,44150099,918107,DIAGNOSES,C0203668,Radioisotope scan of bone,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
85599229,44975696,8354620,PREVENTS,C0087111,Therapeutic procedure,topp,0,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
85606329,45002419,9464497,ASSOCIATED_WITH,C0079419|7157,TP53 gene|TP53,gngm,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
85606578,45002663,9464497,OCCURS_IN,C1517478,Gene Abnormality,comd,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
85606990,45003244,9464497,ASSOCIATED_WITH,C0079419|7157,TP53 gene|TP53,gngm,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
85891801,45472964,9617902,DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
86108800,45836102,8962463,METHOD_OF,C0242970,"Diet, Fat-Restricted",topp,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
86405779,46365842,9709291,METHOD_OF,C0024671,Mammography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
86939149,47273337,9651946,ASSOCIATED_WITH,C0128897,Monocyte Chemoattractant Protein-1,aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
86974263,47322278,9468589,TREATS,C0024881,Mastectomy,topp,1,C0278489,stage IIIA breast cancer,neop,1,\N,\N,\N
86974386,47322470,9468589,TREATS,C0013216,Pharmacotherapy,topp,1,C0278489,stage IIIA breast cancer,neop,1,\N,\N,\N
87003685,47377607,9027595,USES,C0008972,Clinical Research,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
87254842,14527835,8750527,TREATS,C0001962,Ethanol,orch,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
87255060,14528284,8750527,PREDISPOSES,C0001948,Alcohol consumption,inbe,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
87270639,14564148,8750579,DIAGNOSES,C0041618,Ultrasonography,diap,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
87541085,15193055,28669713,PREDISPOSES,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
87908051,48839574,8389501,ASSOCIATED_WITH,C0034840,"Receptors, Steroid",aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
88212122,49342000,9065598,ASSOCIATED_WITH,C0072108,Proliferating Cell Nuclear Antigen,aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
88216202,49348672,9065608,ASSOCIATED_WITH,C0028928,Oleic Acid,bacs,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88216297,49348813,9065608,PREVENTS,C0015677,Fatty acid glycerol esters,phsu,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88226566,49367552,8664408,ASSOCIATED_WITH,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
88226611,49367552,8664408,ASSOCIATED_WITH,C0521963,Synthetic antiestrogen,horm,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
88328015,49530269,9065929,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
88383560,49661318,28205449,PRECEDES,C0087111,Therapeutic procedure,topp,0,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
88655125,50092009,9810779,COEXISTS_WITH,C0006142,Malignant neoplasm of breast,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88804042,50359127,27988977,TREATS,C0034618,Radiation therapy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
88816111,50330501,9569339,DIAGNOSES,C0024671,Mammography,diap,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88816133,50330501,9569339,DIAGNOSES,C0041618,Ultrasonography,diap,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88816287,50330788,9569339,DIAGNOSES,C0024671,Mammography,diap,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
88997787,17824823,9135487,TREATS,C0034618,Radiation therapy,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
89030005,50703554,9478273,TREATS,C0851312,Breast surgery,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
89030038,50703554,9478273,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
89600091,51706099,9040805,CAUSES,C0033375,Prolactinoma,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
90027410,53180693,1404448,USES,C0008972,Clinical Research,resa,1,C0281189,breast cancer prevention,topp,1,\N,\N,\N
90168044,53391176,1524921,PREDISPOSES,C1513126,Menopausal Status,clna,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
90180854,2261610,1554886,PART_OF,10630,PDPN,gngm,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
90180888,2261610,1554886,AFFECTS,C0087111,Therapeutic procedure,topp,0,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
90181132,2262434,1554886,PART_OF,10630,PDPN,gngm,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
90584061,3355222,2996256,LOCATION_OF,C0021851,Large Intestine,bpoc,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
91092122,54824602,2546905,TREATS,C0034618,Radiation therapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
91092927,54825797,2546905,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
91132625,54830451,1587536,NEG_ASSOCIATED_WITH,C0079419|7157,TP53 gene|TP53,gngm,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
91574568,5823286,3180802,TREATS,C0034618,Radiation therapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
91644802,55589593,1707525,PART_OF,C1519524,"Tissue, Paraffin",tisu,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
91856804,6408821,3275339,TREATS,C0001551,Immunologic Adjuvants,phsu,1,C0278489,stage IIIA breast cancer,neop,1,\N,\N,\N
91857604,6410501,3275346,TREATS,C0040808,Treatment Protocols,topp,1,C0278513,stage IIIB breast cancer,neop,1,\N,\N,\N
92336498,56630891,1920492,TREATS,C0677850,adjuvant therapy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
92744050,7943259,3994399,TREATS,C0013216,Pharmacotherapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
92744152,7943259,3994399,TREATS,C1142192,Transcatheter arterial embolization,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
92893798,8191831,3964894,METHOD_OF,C0039810,thermography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
92954199,57533634,1622642,PREDISPOSES,C1513126,Menopausal Status,clna,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
93272431,58129505,2374822,METHOD_OF,C0441633,Scanning,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
93343012,58124886,1320920,PREVENTS,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
93496405,58348993,2286314,PART_OF,59342,SCPEP1,gngm,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
93868410,9796341,1775816,PREDISPOSES,C0039286,Tamoxifen,orch,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
94079306,10193390,3004534,ASSOCIATED_WITH,C0034840|2069|2099,"Receptors, Steroid|EREG|ESR1",aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
94392665,59645878,1626941,LOCATION_OF,C0024109,Lung,bpoc,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
94417787,10751397,2678366,COEXISTS_WITH,C0281267,bilateral breast cancer,neop,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
94836536,11463374,3006385,ASSOCIATED_WITH,C0034840,"Receptors, Steroid",aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
95027499,60625196,3128945,TREATS,C0677850,adjuvant therapy,topp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
95028095,60626348,3128945,TREATS,C0013216,Pharmacotherapy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
95028131,60626348,3128945,TREATS,C0039286,Tamoxifen,phsu,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
95269045,12163691,2828434,DIAGNOSES,C0200760,Morphometric analysis,lbpr,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
95561665,61626147,2437406,ASSOCIATED_WITH,C0041361,Tumor Antigens,imft,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
95561750,61626271,2437406,ASSOCIATED_WITH,C0003320,Antigens,bacs,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
95919370,61926296,2262375,CAUSES,C0006142,Malignant neoplasm of breast,neop,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
96065695,13430350,1963681,TREATS,C0024203,Lymph node excision,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
96065737,13430350,1963681,TREATS,C0024881,Mastectomy,topp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
96115820,13535537,3556014,TREATS,C0079595,Imaging Techniques,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
96199255,62345044,2295045,PRECEDES,C0019829,Hodgkin Disease,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
96704892,14465880,3040566,ASSOCIATED_WITH,C0003250,Monoclonal Antibodies,aapp,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
97137552,64055336,2386915,PREVENTS,C0034618,Radiation therapy,topp,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
97400030,15544956,3012862,COEXISTS_WITH,C0332448,Infiltration,patf,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
97580416,15838458,3203311,DIAGNOSES,C0920737,breast cancer diagnosis,diap,1,C1096616,Contralateral breast cancer,neop,1,\N,\N,\N
97761834,16097530,3383109,ASSOCIATED_WITH,C0034804,Estrogen Receptors,aapp,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
98304996,16978094,2989145,DIAGNOSES,C0200760,Morphometric analysis,lbpr,1,C0861354,Invasive ductal breast cancer,neop,1,\N,\N,\N
98478705,17221525,2836944,DIAGNOSES,C0043299,Diagnostic radiologic examination,diap,1,C1328544,Tubular breast cancer,neop,1,\N,\N,\N
99127747,18023703,1910995,TREATS,C0034618,Radiation therapy,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
99127762,18023703,1910995,TREATS,C0543467,Operative Surgical Procedures,topp,1,C0280224,"stage, breast cancer",neop,1,\N,\N,\N
99258177,18205427,2840778,DIAGNOSES,C0024671,Mammography,diap,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
100029960,2102808,4349607,TREATS,C0441274,Silicone gel implant,medd,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
100218597,76719163,9816327,TREATS,C1328050,high-dose chemotherapy,topp,1,C0278489,stage IIIA breast cancer,neop,1,\N,\N,\N
100982275,75466449,6694266,METHOD_OF,C0039810,thermography,diap,1,C0920737,breast cancer diagnosis,diap,1,\N,\N,\N
102433602,75522784,6704924,PRECEDES,C0018418,Gynecomastia,dsyn,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
102433618,75522784,6704924,PRECEDES,C0027651,Neoplasm,neop,1,C0281267,bilateral breast cancer,neop,1,\N,\N,\N
